"エル","","おっはようございまーす！","","",""
"","","エルさんが、早朝からハイテンションでいきなり部屋に乱入してきた。","","",""
"","","鍵、かけてなかったっけ……？","","",""
"","","俺は寝ぼけ眼で、パジャマのままエルさんを出迎えた。","","",""
"ツカサ","","どうしたんです……？　こんな朝早くに","","",""
"","","ちょうどシャワーを浴び終えたアイラも、顔を出した。","","",""
"アイラ","","エル……？","","",""
"エル","","アイラっち、おはようございます！","","",""
"エル","","おおう、そんな扇情的な格好で出迎えてくれるなんて。最高です！","","",""
"アイラ","","別に、エルを出迎えるためにこの格好をしてるわけじゃ……","","",""
"ツカサ","","それでエルさん、どうしたんですか？","","",""
"エル","","おふたりは、第３ターミナルサービスのアンディのこと、覚えてますよね？","","",""
"ツカサ","","ええ","","",""
"","","アンディはかつてのエルさんのご近所さんで、昔なじみだ。","","",""
"","","かつてはオリヴィアっていう名前だったけど、一度回収され、その後にＯＳを入れ替えられて、アンディという名前でマークスマンの仕事をしている。","","",""
"エル","","今日、アンディから、デートに誘われてるんですよ","","",""
"エル","","第３ターミナルサービスの担当区域内に、中華街ってありますよね。そこに行こうって","","",""
"エル","","で、この前のカーニバルのときみたいに、おふたりもぜひ一緒にどうですか、とも言われてまして","","",""
"エル","","どうでしょう？","","",""
"ツカサ","","中華街……ですか","","",""
"","","俺、行ったことないなあ。\n今日は特に予定もない。","","",""
"","","ただ、アイラってエルさんとアンディのこと、ちょっと苦手にしてるような気がするから、どう思うかな。","","",""
"ツカサ","","アイラ、どうする？","","",""
"アイラ","","ツカサは？","","",""
"ツカサ","","俺は……行ってみたい。アイラと一緒にね","","",""
"アイラ","","うん。じゃあ、私も行く","","",""
"","","意外にも、アイラはすんなりＯＫしてくれた。","","",""
"エル","","んふふ～。決まりですね！　では、待ち合わせ時間などは後で伝えますから！","","",""
"ツカサ","","はい、お願いします","","",""
"","","中華街は観光地ということもあって、賑わっていた。","","",""
"","","エルさんはアンディと合流してからこっちに来るって言っていた。\nこの人混みの中で、見つけられるかなって少し不安だったけど。","","",""
"エル","","ツカサっち、アイラっち！　こっちですよ、こっちこっち～！","","",""
"","","大きく手を振って呼びかけてくるエルさんは、すぐに見つかった。その隣にはアンディもいる。","","",""
"アンディ","","やあ、ツカサくん。アイラくん。カーニバル以来だね","","",""
"アイラ","","どうも","","",""
"ツカサ","","久しぶり、アンディ","","",""
"","","と、アンディは俺の脇腹を肘で小突いてきた。","","",""
"アンディ","","君たちふたりの関係がどうなったのか、ずっと気になっていたんだ。エルくんからいきさつを聞いて、僕はホッとしたよ","","",""
"アンディ","","よかったね。おめでとう","","",""
"ツカサ","","うん、ありがとう","","",""
"","","アンディに祝福の言葉をもらっている間に、エルさんはと言えば、アイラを見て鼻息を荒くしていた。","","",""
"エル","","相変わらず、アイラっちの私服姿は激カワっすねえ！　おっほぉ～！","","",""
"","","今にも襲いかかりそうな勢いにたじろいだアイラは、たまらず俺の影に隠れた。","","",""
