"0","休日の朝。身支度を整えていると、自分の電話が鳴っていることに気が付いた。",""
"1","発信者の名前は『水柿スミ』。",""
"2","な、なんだろう……。",""
"3","俺はソワソワしながら電話に出た。",""
"4","用事なんてないんだけど、いろいろ聞かれると面倒なことになりそうなので、早々に電話を切ることにする。",""
"5","半ば強引に通話を終了した。",""
"6","まさか母さんから電話がかかってくるなんて思ってもみなかった。",""
"7","……いや、寮生活になってから全然連絡しなかった俺が悪いのか。",""
"8","声がして振り返ると、アイラがこっちを見ていた。",""
"9","アイラはなぜか嬉しそうだった。",""
"10","アイラは事件を捜査する探偵みたいに、フムフムとうなずいている。",""
"11","ずっと質問を続けていたアイラの言葉が、突然願望に変わった。",""
"12","アイラには生みの親がいるけど、それは人の親とは違った存在。",""
"13","アイラには、両親も実家もないんだ。",""
"14","まさかこんな日が来るなんてなあ。\n俺にとってはかなり照れくさい状況になりそうだけど。",""
"15","アイラが望むなら……！",""
"16","こうして急遽、俺は実家へ帰省することになった。",""
"17","簡単に荷物を用意して、服を着替えてから、俺たちは寮を後にした。",""
"18","実家までは電車を使う。",""
"19","第１ターミナルサービスで働き出した当初は、ヘトヘトになりながら通勤していたなあ。",""
"20","およそ１時間ほどの道中。その時間は両親や実家の話をしているうちに、瞬く間に過ぎ去った。",""
"21","二ヶ月ぶりぐらいに帰ってきた実家は、なにも変わっていなかった。変わるわけもないよね。",""
"22","なんの連絡もせずに帰ってきたけど、大丈夫かな。",""
"23","玄関の鍵は開いていた。だから勝手に上がり込んで、居間に持ってきた荷物を置いた。",""
"24","父さんは仕事かな？\nでも玄関は開いていたから、母さんは家にいるはずなんだけど。",""
"25","見ると、アイラはガチガチに緊張していた。",""
"26","恋人が自分の親に挨拶をする。",""
"27","その事実と、アイラの強張った表情を見ていたら、こっちまで緊張してきてしまった。",""
"28","そのとき、物音が聞こえた。",""
"29","声が聞こえて振り返ると、洗濯カゴを持った母さんが立っていた。",""
"30","そのときになって母さんはアイラに気付く。",""
"31","緊張が解けず、声がうわずってしまった。",""
"32","と、今度は廊下から足音が聞こえた。",""
"33","声とともに現れたのは、父さん――水柿タツル。",""
"34","今日は仕事がオフだったのか。\n完全にリラックスした格好をしている。",""
"35","父さんもアイラの存在に気が付いた。",""
"36","ここで、俺に注目が集まった。",""
"37","来客について説明がほしい父さんと母さんの視線と、緊張したアイラの助けを求めるような視線。",""
"38","アイラのことをどう説明するべきか。",""
"39","考えた末、俺はこう言うことにした。",""
"40","アイラとの関係を説明するのは、少し難しい。それに、人ではなく、ギフティアが恋人なんて、人によっては抵抗があるかもしれない。",""
"41","だけど俺は正直に伝えた。アイラのことを、アイラとの関係を。",""
"42","母さんは驚いた顔で、口元を覆った。",""
"43","批判されるのは怖いけど、アイラの気持ちを裏切る方が俺にはもっと怖かった。",""
"44","てっきり怒鳴られると思ったけど、母さんは喜んでいた。",""
"45","自分の親がそういうふうに思っていたなんて知らなかった。",""
"46","アイラはガチガチのまま……。でも、なんとか挨拶することができた。",""
"47","父さんは相変わらず真面目だった。",""
"48","両親を持たないアイラにとって、その言葉は胸に響いたみたいで、目を輝かせた。",""
"49","そして勧められたままちゃぶ台の前に座ったアイラは、ソワソワして室内を見回した。",""
"50","父さんは安心した様子で微笑んだ。",""
"51","……それはいいとして。",""
"52","やっぱり父さんは真面目だ。",""
"53","母さんの呼びかけに応じて、台所へ向かう父さん。",""
"54","その様子をアイラはじっと見ていた。",""
"55","それが普通だと思ってたけど。",""
"56","父さんは生真面目だけど、優しいし、母さんは少しうるさいとこあるけど、人当たりの良さは母さんのいいところだ。",""
"57","アイラは羨ましそうに、台所の方向を見ていた。",""
