"0","","","俺は自分のベッドに寝転んだまま、手元にあるチケットをじっと眺めていた。","","",""
"1","","","以前、課長からもらった、会社近くにあるコーヒーショップの割引チケット。","","",""
"2","","","その期限が、今週いっぱいなんだ。","","",""
"3","アイラ","","ツカサ？","","",""
"4","","","アイラがロフトに上ってきた。","","",""
"5","アイラ","","お茶、飲む？","","",""
"6","ツカサ","","あ、うん","","",""
"7","アイラ","","なに見てるの？","","",""
"8","","","アイラが、俺の手元をのぞき込んできたから、チケットを見せてあげた。","","",""
"9","ツカサ","","課長からもらったこの割引券、期限がもうすぐ切れちゃうんだよね","","",""
"10","アイラ","","そうなの？　じゃあ早く使い切った方がいいかも","","",""
"11","ツカサ","","だよね。せっかくの５０％オフなんだし","","",""
"12","ツカサ","","ただ……","","",""
"13","アイラ","","ただ？","","",""
"14","ツカサ","","コーヒーショップだよ？","","",""
"15","","","ハーブティー派のアイラには、縁がなさそうな店に思える。","","",""
"16","ツカサ","","アイラって、コーヒー飲める？","","",""
"17","アイラ","","…………エラー。よく聞きとれませんでした","","",""
"18","ツカサ","","へ？","","",""
"19","","","いきなりアイラがむくれてしまった。","","",""
"20","","","突然すぎて、さすがに戸惑ってしまう。","","",""
"21","ツカサ","","え、もしかして怒った？　なんで？","","",""
"22","アイラ","","エラー","","",""
"23","ツカサ","","アイラ～……","","",""
"24","","","わざとらしくすがりついてみる。","","",""
"25","アイラ","","…………","","",""
"26","アイラ","","今、ツカサに子供扱いされたので","","",""
"27","ツカサ","","というと？","","",""
"28","アイラ","","コーヒーぐらい、私だって飲める","","",""
"29","ツカサ","","…………","","",""
"30","ツカサ","","ぷっ","","",""
"31","","","それでむくれちゃったのか。\n理由そのものがかわいらしい。","","",""
"32","アイラ","","笑い事じゃないよ！","","",""
"33","ツカサ","","あはは、ごめんごめん","","",""
"34","ツカサ","","じゃあ、今から一緒に行こうよ。コーヒーを飲みに","","",""
"35","アイラ","","…………","","",""
"36","","","アイラは唇を尖らせてチラチラと俺を見ていたけど、最後には笑ってくれた。","","",""
"37","アイラ","","しょうがないから、付き合う","","",""
"38","ツカサ","","やった！","","",""
"39","","","店内にはコーヒー豆の匂いが漂っていた。","","",""
"40","","","店員さんに案内されて、アイラと差し向かいの席に座る。","","",""
"41","ツカサ","","ブレンドコーヒーをひとつ","","",""
"42","アイラ","","私も、同じものを","","",""
"43","","","少し上擦った声で俺とアイラは注文をした。","","",""
"44","ツカサ","","…………","","",""
"45","アイラ","","…………","","",""
"46","","","喉がやたら渇いていたから、出された水をちびちび飲んだ。","","",""
"47","","","俺もアイラに偉そうなこと言ってたけど、実はコーヒーショップに来るのははじめてなんだよね……。","","",""
"48","","","学生の頃は、炭酸飲料ばっかり飲んでたし。","","",""
"49","","","ＳＡＩ社に入ってからは、だいたいいつもアイラがハーブティーを用意してくれたから。","","",""
"50","","","そんなわけで、コーヒーを飲む機会が俺のこれまでの人生にはなかったんだ。","","",""
"51","","","ましてやコーヒーショップに来て高いコーヒーを飲むなんて、そんな大人のやることは完全に未経験。","","",""
"52","","","アイラだってさっきは子供扱いしてほしくないって言ってたけど、明らかに強がってただけだよね。","","",""
"53","","","コーヒーショップ初心者の俺たちは、コーヒーが運ばれてくるのを落ち着きなく待った。","","",""
"54","","","しばらくして、湯気を立てるふたつのコーヒーを店員さんが持ってきてくれた。","","",""
"55","アイラ","","ツカサって、コーヒーに詳しい？","","",""
"56","ツカサ","","え！？","","",""
"57","アイラ","","さっき私を誘ってくれたとき、知ってるような口ぶりだったので","","",""
"58","ツカサ","","ええと……","","",""
"59","もちろんだよ","さっぱり分からないよ","","dummy","dummy"
"60","","","さっき怒らせちゃった手前、とてもじゃないけど“俺もコーヒーはろくに飲まない”なんて白状できなかった。","","",""
"61","ツカサ","","も、もちろんだよ！","","",""
"62","ツカサ","","休みごとに喫茶店を開拓してるし、コーヒーに関するワークショップにも参加してるしね！","","",""
"63","アイラ","","え！？　い、いつの間に……","","",""
"64","アイラ","","すごいね！","","",""
"65","ツカサ","","は、ははは……","","",""
"66","","","アイラは本気で俺の言葉を信じてくれたみたいだ。\nその疑いのない眼差しが、今は心苦しい。","","",""
"67","","","でも、さっき出かける前に、ちょっとだけコーヒーについての知識は勉強したんだ。というわけで、一応かっこつけるために、その知識を披露することにした。","","",""
"68","ツカサ","","よく混同されるけど、コーヒーの酸味と酸っぱい味ってまるっきり別物なんだよ","","",""
"69","アイラ","","えっ、どう違うの？","","",""
"70","ツカサ","","酸っぱい味は、ただ風味が劣化しただけ","","",""
"71","ツカサ","","酸味は、コーヒーの苦味やコクと混ざり合って、全体のバランスを整えてくれる味なんだ","","",""
"72","アイラ","","じゃあ、酸味の効いたコーヒーを味わうにはどうすればいいの？","","",""
"73","ツカサ","","うん、ええと、そうだなあ……","","",""
"74","ツカサ","","じ、時間が経つと風味が飛んじゃうから、淹れたてを飲めばバッチリ……じゃないかな","","",""
"75","ツカサ","","というわけで、いただこうよっ","","",""
"76","","","俺は目の前に置かれたコーヒーカップを手に取った。\n真っ黒の液体を一口、すする。","","",""
"77","ツカサ","","う、にが～い……！","","",""
"78","","","たまらず、嘘偽りない感想を口に出してしまった。","","",""
"79","","","通ぶってブラックのまま行くなんて、俺には早すぎた……。","","",""
"80","アイラ","","ツカサ、バレバレだよ","","",""
"81","ツカサ","","え！？","","",""
"82","アイラ","","見栄を張って、知ったかぶりしたでしょ？","","",""
"83","ツカサ","","う……その通りです。よく見抜いたね","","",""
