"ツカサ","","意外と、時間ができちゃったね","","",""
"アイラ","","うん","","",""
"","","屋上にある、いつものハーブショップ。今日はそこで試飲会をやっていたから、参加してきたんだ。","","",""
"","","俺たちはエレベーターから出ると、ショッピングモール内を見渡した。","","",""
"ツカサ","","せっかくだから、モール内を歩いてみない？","","",""
"アイラ","","いいよ","","",""
"","","いつもこのモールには目的を持って訪れているけど、たまにはウィンドウショッピングをするのも悪くない。\nいや、むしろその方が恋人らしいかもしれない。","","",""
"","","モール内は今日もそこそこ混雑していた。平日も休日も関係なく、ここは人で賑わっている。","","",""
"","","昼下がりには子供を連れたお母さんたちが、夕方頃になると学生が、休日には家族連れが目立つようになるんだ。","","",""
"","","今日は、ざっと見渡してみる限り、若いカップルが多いように見える。","","",""
"ツカサ","","…………","","",""
"","","そうやって他のカップルを見ていると、とあることに気が付いた。","","",""
"","","かなりのカップルが、腕を組みながら歩いている。","","",""
"","","まるで、“これこそがこのショッピングモールにおける、ウィンドウショッピングの正しい形”とでも言ってるみたいだ。\nって、ただの考えすぎなんだけど。","","",""
"","","でも、そう言えば俺とアイラって、あんな風に腕を組んでデートしたことってないよなあ。","","",""
"","","ちらっとアイラの横顔へと視線を向けると。","","",""
"アイラ","","……っ","","",""
"","","あ……。目が合った。","","",""
"","","もしかして、同じことを考えてる……？","","",""
"ツカサ","","アイラ、今、俺になにか言おうとした？","","",""
"アイラ","","ツカサこそ","","",""
"ツカサ","","じゃあ、せーので一緒に言ってみよう","","",""
"アイラ","","え！？　で、でも……","","",""
"ツカサ","","いくよ？","","",""
"アイラ","","わ、わわ。待って待って","","",""
"ツカサ","","せーのっ","","",""
"ツカサ","ツカサ・アイラ","腕を組んでみたい","","",""
"アイラ","","あ……","","",""
"ツカサ","","考えてることは、同じだったみたいだね","","",""
"アイラ","","うん……","","",""
"アイラ","","あんな風に歩くの、いいな、って思って","","",""
"ツカサ","","それじゃあ、やってみよう","","",""
"アイラ","","いいの？","","",""
"ツカサ","","もちろん！","","",""
"ツカサ","ツカサ・アイラ","肩を組んでみたい\n腕を組んでみたい","","",""
"アイラ","","えっ？","","",""
"ツカサ","","えっ！？","","",""
"","","あれ、間違えたかな……。","","",""
"アイラ","","肩を、組みたいの？","","",""
"アイラ","","ツカサ、大胆だね……","","",""
"アイラ","","でも、私はちょっと……こういうところだと、そこまではできないので……ごめんなさい","","",""
"","","謝られた……。","","",""
