"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","","","アイラとふたりでユニットテスティングルームに顔を出すと、すでにオヤジさんとエルさんが待っていた。","","",""
"1","エル","","おお～、ふたりともお待ちしてましたよ～","","",""
"2","","","ユニットテスティングルームでのテストには、事前に予約がいる。\nエンジニアに立ち合ってもらわなくちゃいけないわけだから。","","",""
"3","ミキジロウ","","アイラ、今日は軽めのメニューにしておけ","","",""
"4","","","この日は、テストを始める前にオヤジさんからそう提案された。","","",""
"5","ミキジロウ","","前回、ちょっとした騒ぎになったわけだしな","","",""
"6","","","前回は、アイラが溺れていると勘違いして助けに入った俺が、逆に溺れかけるっていう実に情けない事件を起こしちゃったんだよね。","","",""
"7","","","それでエルさんやオヤジさんには迷惑をかけた……。","","",""
"8","ミキジロウ","","もともと、そう何度もやる必要はないテストだ。たまには軽く流せ。気分転換にもなるだろう","","",""
"9","アイラ","","でも","","",""
"10","","","アイラは不満そうだ。","","",""
"11","アイラ","","軽めのメニューだと、お遊びみたいになっちゃうので……。せっかくミキジロウとエルに付き合ってもらっているのに","","",""
"12","エル","","アイラっち、あんまり頑張りすぎるのもよくないですよ。私たちのことは気にしなくていいですから","","",""
"13","エル","","あ、そうだ。どうしてもいつも通りにやりたいって言うなら、小一時間ほど応急処置についての勉強会をしてもらうのはどうでしょう？","","",""
"14","アイラ","","応急処置？","","",""
"15","エル","","人工呼吸のやり方とかを、私が手取り足取り教えちゃいますよ～","","",""
"16","アイラ","","エル……","","",""
"17","ミキジロウ","","エル、下らないことを話すな","","",""
"18","エル","","す、すみません、師匠！","","",""
"19","","","エルさんは注意されて、ビシッと背筋を伸ばした。\n相変わらず、オヤジさんには頭が上がらないみたいだ。","","",""
"20","アイラの望む通りにさせる","オヤジさんに賛成","","","dummy","dummy"
"21","ツカサ","","俺としては、アイラの望む通りにやらせてあげたいんですけど","","",""
"22","","","新人の分際で生意気だと思われるかもしれないけど、あえてオヤジさんに意見を言ってみた。","","",""
"23","ミキジロウ","","それなら、ツカサには帰ってもらう","","",""
"24","ツカサ","","えっ？","","",""
"25","ミキジロウ","","前回の騒動は、主にお前が原因だろう。だから万全を期して、お前には立ち合いを遠慮してもらう","","",""
"26","ツカサ","","そうですよね……","","",""
"27","","","前回の騒動は、全面的に俺のせいだ。それは間違いない。","","",""
"28","","","できれば、アイラのテストをずっと見守ってはいたいけど……。","","",""
"29","ツカサ","","分かりました。じゃあ俺はテストの間、外で――","","",""
"30","アイラ","","待って","","",""
"31","","","アイラが俺の言葉を遮った。","","",""
"32","アイラ","","ツカサには……、その、ちゃんと見ててほしいので……","","",""
"33","ツカサ","","アイラ……","","",""
"34","エル","","ひゅーひゅー","","",""
"35","ミキジロウ","","エル","","",""
"36","エル","","す、すみません師匠！","","",""
"37","アイラ","","だから、今日はやっぱり、オヤジさんの言う通り、軽いメニューにする","","",""
"38","ツカサ","","……いいの？","","",""
"39","アイラ","","うん","","",""
"40","エル","","それなら、今日はツカサっちも一緒に付き合ってあげたらどうです？","","",""
"41","ツカサ","","アイラ、俺も、オヤジさんの意見に賛成","","",""
"42","ツカサ","","この間のことは全面的に俺のせいだから、アイラには申し訳ないんだけど……","","",""
"43","ツカサ","","俺の心の平穏のためと思って、今日は我慢してほしい。いいかな？","","",""
"44","アイラ","","うん、ツカサがそう言うなら","","",""
"45","ツカサ","","よかった。ありがとう","","",""
"46","エル","","どうせなら、ツカサっちも一緒に付き合ってあげたらどうです？","","",""
"47","ツカサ","","一緒に？　俺がですか？","","",""
"48","","","それは予想外の申し出だった。\nてっきり、エルさんのいつもの冗談だと思ったんだけど。","","",""
"49","","","オヤジさんの様子をうかがってみても、特にエルさんを咎める様子はなかった。","","",""
"50","ミキジロウ","","軽めのメニューと言っているが、要するにプールサイドでのレクリエーションだ","","",""
"51","ミキジロウ","","ひとりよりふたりの方がはかどるだろう","","",""
"52","","","まさかオヤジさんまでそう言ってくるなんて。","","",""
"53","ツカサ","","でも俺、水着、持ってきてませんけど","","",""
"54","エル","","男子のギフティア用に、予備の水着はいくらでもストックがありますから、お好きに使ってください","","",""
"55","ツカサ","","な、なるほど","","",""
"56","ツカサ","","アイラ、そういうわけなんだけど、どうする？　よければ、俺も付き合いたいな","","",""
"57","アイラ","","うん。一緒にやろう","","",""
"58","","","ユニットテスティングルームのテスト用プールは、水深が１０メートル以上もある深いものだけど。","","",""
"59","","","そのプールサイドには、ふくらはぎぐらいの深さしかない浅瀬プールも併設していた。","","",""
"60","","","寝そべってリラックスしたり、潜水用プールに潜る前に準備運動をしたりするために使うみたいだ。","","",""
"61","","","アイラはそこに入って、ビーチボールを使って訓練を始めた。","","",""
"62","","","まずはバレーボールの要領で、自分で頭上へ打ち上げ、それをトスするというのを延々と繰り返す。","","",""
"63","","","俺はその間に、軽く柔軟体操をしておく。","","",""
"64","","","プールの水は温水だから、冷たくて震えちゃうっていうことはないけど。身体を少しでもほぐしておかないと。","","",""
"65","","","ギフティアに比べれば、運動能力はどうしても落ちちゃうから。","","",""
