"0","アイラの運転で到着したのは、広い敷地にそびえ建つ豪奢な一軒家。",""
"1","ここはアントニオ・ホリゾンさんの屋敷――回収対象のサラさんがいる場所だ。",""
"2","俺たちは門を通されて、玄関近くに駐車し、車を降りた。",""
"3","これはカヅキさんから引き継いだ仕事で、俺はまだサラさんやアントニオさんに会ったことがなかった。",""
"4","でも、アイラは一度カヅキさんと一緒に来ているので、今日で２回目の訪問。",""
"5","俺よりも、サラさんたちの事情に詳しい。",""
"6","報告書には、サラさんの回収日までアイラが遊び相手になるとしか書かれていなかったから、てっきり２人で遊ぶものと思っていた。",""
"7","今日はアイラに任せて、問題が起きたときだけ手を貸すことにしよう。",""
"8","先陣を切って、歩き出すアイラ。",""
"9","向かう玄関には、黒いスーツの男の人たちが何人も立っていた。",""
"10","全員ボディーガードで俺たちを警戒しているのか、こちらに鋭い視線を向けている。",""
"11","こ、怖い……！",""
"12","アントニオさんはいわゆるマフィアのボスだと、カヅキさんが言っていた。",""
"13","失礼なことをしたら、大変な目に遭ったりするんだろうか。",""
"14","玄関の前で、アイラの隣に立った。",""
"15","ドアはすでに開いていて、中から女の人が現れた。",""
"16","回収対象のサラさんだ。",""
"17","彼女はこっちからの挨拶には応えず、はじめて会う俺をじっと見つめてきた。",""
"18","どんな顔をするべきか分からなくて、苦笑してごまかすしかない。",""
"19","と、アイラが俺の服の裾をギュッと握りしめてきた。",""
"20","サラさんはアイラの言葉を遮り、ふっと表情を和らげた。",""
"21","状況を飲み込めなくてアイラを見ると、アイラも戸惑った顔をしていた。",""
"22","俺たちの様子を見て一瞬で関係性を理解した、ってことなのかな？",""
"23","だとすると、サラさんはすごく勘がいい人なんだと思った。",""
"24","そんなサラさんの案内に従って、俺たちはアントニオさんの屋敷にあがり込んだ。",""
"25","通されたのは、屋敷の裏手にある庭園。",""
"26","青々とした芝生の上にテーブルとイスが置かれていた。",""
"27","そう言って、サラさんは屋敷の中へ戻っていく。\nアイラもそれに続こうとする。",""
"28","短く答えて、アイラも屋敷の中へ入っていってしまった。",""
"29","サラさんとアイラの手によって、お茶会の準備が進められていく。",""
"30","俺は、やることがなくて手持無沙汰になっていた。",""
"31","だから、広大な庭を散歩しながら、アイラの役に立てることはないかと考える。",""
"32","役割分担をしている以上、でしゃばりたくはない。",""
"33","かといって、なにもしないわけにもいかなかった。",""
"34","今なにもできない代わりに、帰ってからアイラが喜ぶようなことをして癒してあげる。",""
"35","それが一番よさそうなアイディアだった。",""
"36","問題があるとすれば……。",""
"37","なにをしたら喜んでくれるか、だ。",""
"38","恋人が喜ぶこと。",""
"39","恋人ができたばかりの俺には難しい悩みだった。",""
"40","ヤスタカさんは、サプライズ演出が恋人とうまくやっていくコツだって言っていたけど。",""
"41","背後から声が聞こえた。",""
"42","サラさんだ。",""
"43","考えていたのは仕事と関係ないこと。でも、ここでごまかすのも変な気がした。",""
"44","見透かされたことが恥ずかしくて、思わず手で顔を覆った。",""
"45","サラさんは薄く笑ってから、離れた場所にいるアントニオさんへ視線を移した。",""
"46","アイラがそんなことを……。",""
