"アイラ","","お待たせ","","",""
"","","トレーニングを終えたアイラが、トレーニング用の水着を着替えて更衣室から出てきた。","","",""
"","","仕事後、アイラはここで定期的にトレーニングをしている。","","",""
"","","俺の役目はその様子を見守ること。そして、終わってから一緒に部屋へ帰ることだ。","","",""
"ツカサ","","お疲れ様。……じゃあ、帰ろうか","","",""
"アイラ","","ツカサ、鞄は？","","",""
"ツカサ","","え？","","",""
"","","アイラに言われて、自分が鞄を持っていないことに気付いた。","","",""
"","","これは、たぶん……。","","",""
"","","鞄はオフィスに置いたままになっていた。","","",""
"ツカサ","","ああ、やっぱりここだった","","",""
"ツカサ","","アイラ、ごめん――","","",""
"","","鞄を手に取ったとき、オフィスの電話が鳴り響いた。","","",""
"アイラ","","誰かな？","","",""
"ツカサ","","この時間だから、社外の人ではないと思うけど","","",""
"","","切れてしまう前に、通話ボタンを押した。","","",""
"ツカサ","","お電話ありがとうございます。ターミナルサービスで――","","",""
"","","と、電話の画面に映し出された顔を見て言葉を止めた。","","",""
"","","電話の相手はコンスタンスだった。車を運転中みたいだ。","","",""
"コンスタンス","","あ、ツカサですか？　お疲れ様です","","",""
"ツカサ","","どうしたの？","","",""
"コンスタンス","","実は、カヅキのことでお願いがありまして……","","",""
"","","わざわざ会社に電話するっていうことは、よほどのことがあったのかな。","","",""
"","","不安で胸がざわついた。","","",""
"コンスタンス","","本来なら私が向かうべきなのですが、タイミングが悪く交通事故の渋滞に巻き込まれてしまったものですから","","",""
"ツカサ","","俺はなにをすれば？","","",""
"コンスタンス","","いつもの居酒屋まで、カヅキを迎えに行ってくれませんか？","","",""
"コンスタンス","","いつものように、酔いつぶれてしまったらしく","","",""
"ツカサ","","……へ？","","",""
"","","コンスタンスの話によると、カヅキさんが行きつけの居酒屋でひとりで酔いつぶれてしまったとお店から連絡があったので、迎えに行ってほしいとのことだった。","","",""
"アイラ","","カヅキは相変わらずなんだから……","","",""
"","","呆れながらもアイラは運転を買って出てくれた。","","",""
"ツカサ","","巻き込んじゃって、ごめんね","","",""
"アイラ","","ううん、慣れてるから平気。遅くなる前に行こう","","",""
"ツカサ","","そうだね","","",""
"","","カヅキさんを迎えに行くため、俺たちは車に乗り込んだ。","","",""
"ツカサ","","あ、カヅキさん！","","",""
"","","カヅキさんは、カウンター席で突っ伏して、寝息を立てていた。","","",""
"","","お店の人に頭を下げながら、駆け寄る。","","",""
"カヅキ","","…………","","",""
"","","器用にもワイングラスを握りしめたまま眠っていて、意識はないみたいだ。","","",""
"ツカサ","","カヅキさん、起きてください。カヅキさんってば","","",""
"カヅキ","","…………","","",""
"","","肩を揺らしてみるけど、反応はない。","","",""
"","","ど、どうしよう……。","","",""
"名前を呼び続ける","アイラに助けを求める","","","dummy","dummy"
"ツカサ","","カヅキさん！　カヅキさ～ん！　起きてくださいよ、カヅキさん","","",""
"ツカサ","","桑乃実カヅキさん、桑乃実カヅキ殿！　桑乃実カヅキ……ちゃん","","",""
"カヅキ","","……うるせえ","","",""
"ツカサ","","ひっ！","","",""
"","","思わず、仰け反った。","","",""
"","","でも。","","",""
"カヅキ","","…………","","",""
"","","今のは寝言だったみたいで、俺の失礼な呼び方に反応したわけじゃないみたいだった。","","",""
"アイラ","","ツカサ、私がやってみる","","",""
"ツカサ","","ごめん、頼むよ","","",""
"","","成果をあげられなかった俺は、アイラに後を任せることにした。","","",""
"ツカサ","","あのさ、アイラ。……カヅキさんを起こすいい方法ってあったりするかな？","","",""
"","","情けない気持ちになりながらも、アイラに助けを求めることにした。","","",""
