"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","","","この日も、俺はアイラのテストを見守るために、ユニットテスティングルームに足を運んでいた。","","",""
"1","","","俺にできることは、見ていることだけ。\nだからせめて、少しでも近くで見ていたいんだ。","","",""
"2","エル","","ツカサっちは健気ですね～。女子としてはですね、そういう風に自分をちゃんと気にかけてくれてるってのは、やっぱり嬉しいものですよ","","",""
"3","ツカサ","","え、本当ですか？　もしアイラにウザがられたらどうしようって、内心軽くドキドキしてたんですけど","","",""
"4","エル","","そんなわけないじゃないですか～。謙遜しちゃってこのこの！","","",""
"5","","","モニターに映るプール型の訓練施設では、アイラが深く潜水を行っている。","","",""
"6","","","アイラが行っているのは、プールの中で泳ぎまわり、水密扉を開けるなどといった特殊なテストだ。","","",""
"7","ツカサ","","でも、アイラはこのテスト、けっこう失敗も多いでしょう？　もしかすると、それを見られたくないんじゃないかって思って","","",""
"8","エル","","本人にそう言われたんですか？","","",""
"9","ツカサ","","それに近いことは","","",""
"10","エル","","でも見に来るなとは言われてないんですよね？　だったら、ツカサっちの考えすぎですよ","","",""
"11","エル","","カレシがアイラっちを信じないでどうするんです？","","",""
"12","エル","","恥ずかしいところも全部見せ合いっこしてこそ、恋人ってものですよ～。くふふ","","",""
"13","ツカサ","","……その言い方、ちょっといかがわしいです","","",""
"14","エル","","ツカサっち、人のせいにしちゃいけません。それは単に、ツカサっちの心が汚れちゃっているのです","","",""
"15","エル","","いずれにせよ、私は心配しなくていいと思いますよ","","",""
"16","エル","","私から見ても、今のおふたりはラブラブですから。ちょっと分けてほしいぐらいです","","",""
"17","ツカサ","","それはどうも……","","",""
"18","","","そうこうしているうちに、モニタ内では、アイラがプール内の壁面から飛び出た取っ掛かりに縄を結びつける訓練へ移行するのが見えた。","","",""
"19","","","アイラは手際よく縄を結びつけ、浮上しようとする。\nと、そのとき、足に縄が絡まってしまった。","","",""
"20","ツカサ","","あ、また……！","","",""
"21","","","以前、アイラの訓練を見たときにも、あそこではミスをしていた。そのときは、少しもがいただけで脱出できていたけど。","","",""
"22","","","今回もきっとすぐに脱出できるだろうって分かっていても、ついつい手に汗握っちゃうよ。","","",""
"23","エル","","そんなにハラハラしないでも大丈夫ですって～。アイラっちはよくあそこで引っかかってますからね～","","",""
"24","","","そう言うエルさんと対照的に、俺の心配はどんどん募っていく。","","",""
"25","ツカサ","","すみません。やっぱり心配で","","",""
"26","","","正直、気が気じゃない。いくら慣れているっていっても、アイラが今回もちゃんと脱出できるとは限らないんだ。","","",""
"27","ツカサ","","アイラ、頑張って……","","",""
"28","","","と、縄を解こうともがいていたアイラの身体から、フッと力が抜けた。ぐったりした様子で、水中で漂っている。","","",""
"29","ツカサ","","アイラ……？","","",""
"30","ツカサ","","エルさん、アイラの様子がおかしいです……！","","",""
"31","エル","","え？","","",""
"32","ツカサ","","ほら、全然動かない。もう１０秒以上経ってます！　まさか気を失ったんじゃ……！？","","",""
"33","エル","","ツカサっち、落ち着いて――","","",""
"34","ツカサ","","アイラっ！","","",""
"35","","","叫んだときには身体が動いていた。","","",""
"36","","","アイラを助けないと！","","",""
"37","","","モニタルームから飛び出し、服も脱がずにプールへと飛び込んでいた。","","",""
