"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","","","ターミナルサービスのオフィスを後にして、ＳＡＩ社の本社ビルを見上げる。","","",""
"1","","","今日はここに用事がある。山野辺課長に頼まれた仕事だ。","","",""
"2","アイラ","","メンテナンスとトレーニング以外の用事で、ツカサと本社に行くの、珍しいかも","","",""
"3","ツカサ","","あ、そうだね","","",""
"4","","","そもそも、それ以外のことで本社に来る機会ってないし。","","",""
"5","","","……なんだか新鮮な気分だ。","","",""
"6","アイラ","","書類を持って行くの？","","",""
"7","ツカサ","","そうだよ、伍堂部長にね","","",""
"8","","","思えば、部長と会うのは入社前以来。","","",""
"9","","","父さんが受験に失敗した俺のために話を付けてくれて、軽い面談で顔を合わせたきりだ。","","",""
"10","","","ちなみに、いまだに父さんと部長がどういう関係なのかは、謎だったりする。","","",""
"11","アイラ","","緊張してる？","","",""
"12","","","アイラに聞かれてから、自分の足が止まっていることに気付いた。","","",""
"13","緊張してると言う","大丈夫だと言う","","","dummy","dummy"
"14","ツカサ","","緊張してるね……。部長に会うの久しぶりだから","","",""
"15","アイラ","","じゃあ、おまじない","","",""
"16","","","アイラは俺の左手に触れて、それから薬指を揉んだ。","","",""
"17","ツカサ","","どんなおまじないなの？","","",""
"18","アイラ","","こうするとリラックスできるって、前に聞いたことあるの","","",""
"19","アイラ","","でも、よく考えたら、おまじないとは違うかも","","",""
"20","","","アイラは苦笑した。","","",""
"21","","","俺もつられて笑って、緊張が少しほぐれた。","","",""
"22","ツカサ","","ありがとう、アイラ。気が楽になったよ","","",""
"23","アイラ","","どういたしまして","","",""
"24","","","アイラはそう言って、はにかんだ。","","",""
"25","ツカサ","","大丈夫だよ","","",""
"26","","","俺はアイラに心配をかけないよう、笑ってみせた。","","",""
"27","アイラ","","そっか。ツカサは強いね","","",""
"28","","","アイラはほっとした様子で、胸を撫で下ろした。","","",""
"29","","","本社のビルに入って受付で用件を伝えると、伍堂部長はこれから外出するそうで、ここで待っているよう指示された。","","",""
"30","ツカサ","","いよいよか……","","",""
"31","","","『もし君が我が社にふさわしくない人間だと判断したらすぐに切り捨てる』","","",""
"32","","","部長の言葉が頭の中でこだました。","","",""
"33","","","やっぱり緊張する。","","",""
"34","","","でも、あれから数ヶ月経った。俺もターミナルサービスの一員として努力してる。","","",""
"35","","","だから胸を張って、部長に会うべきだ。","","",""
"36","アイラ","","ツカサ","","",""
"37","","","アイラに呼ばれてから、部長の姿に気付いた。\nスーツ姿のキレイな女性――秘書さんかな？――を伴ってエレベーターから降りてきたところだった。","","",""
"38","ツカサ","","お疲れ様です、部長","","",""
"39","シンヤ","","待たせたな","","",""
"40","ツカサ","","いえ。こちらが山野辺課長から預かってきた書類になります","","",""
"41","","","部長は急いでいるようだったので、すぐに用件である書類を手渡した。","","",""
"42","シンヤ","","ご苦労","","",""
"43","","","部長は書類を何枚かめくって、軽く中身を確認した。特に問題はなかったみたいで、そのまま背後に控える秘書に手渡す。","","",""
"44","","","そして、視線を俺の顔へ移すと……。","","",""
"45","","","部長の表情が、わずかに動く。","","",""
"46","シンヤ","","前とは顔つきが違うな","","",""
"47","ツカサ","","え？","","",""
"48","シンヤ","","山野辺課長から評判は聞いていた。大きなミスもあったが、順調に仕事をこなしているとな","","",""
"49","シンヤ","","我が社にふさわしい人間になってきているようだ","","",""
"50","ツカサ","","……！","","",""
"51","","","今のって、褒められたのかな？","","",""
"52","","","急なことに戸惑っちゃって、気の利いたことも言えない。","","",""
"53","シンヤ","","話は以上だ。これからも頑張りたまえ","","",""
"54","","","伍堂部長は話を切り上げて歩き出す。","","",""
"55","","","そのすれ違いさま――。","","",""
"56","シンヤ","","いい顔をするようになった","","",""
"57","","","息が止まるかと思った。","","",""
"58","","","部長から、そんな言葉を聞くなんて。","","",""
"59","","","俺は慌てて振り返り、去っていく部長に頭を下げた。","","",""
"60","アイラ","","ツカサ、褒められてたね","","",""
"61","ツカサ","","う、うん。ビックリした","","",""
"62","","","部長がつぶやいた言葉も、俺のことじゃないんじゃないかって疑ってしまう。","","",""
"63","アイラ","","ツカサがそれだけ成長したっていうことだよ","","",""
"64","ツカサ","","俺、成長してる？","","",""
"65","アイラ","","うん。私が保証するので","","",""
"66","ツカサ","","そっかぁ……","","",""
"67","","","嬉しさと驚きで、まだ胸がドキドキしていた。","","",""
"68","","","とはいえ、ずっとここにいるわけにもいかない。","","",""
"69","ツカサ","","アイラ、オフィスに戻ろ――","","",""
"70","","","そのとき、周囲のざわついた声が聞こえた。","","",""
"71","","","なんだろう？","","",""
"72","","","周囲を見回してみると……。","","",""
"73","","","ふらふらと歩いている女性がいた。","","",""
"74","","","ＳＡＩ社の社員……には見えないけど。","","",""
"75","","","かといって、一般人というには、なんていうか、浮き世離れした雰囲気をまとっている。","","",""
"76","ツカサ","","誰だろう？","","",""
"77","アイラ","","……博士","","",""
"78","アイラ","","萌葱博士だ","","",""
"79","ツカサ","","萌葱博士？","","",""
"80","","","誰だっけ？　聞き覚えがあるような、ないような……。","","",""
"81","アイラ","","萌葱ユウ博士。ギフティアを作った人","","",""
"82","ツカサ","","あ……","","",""
"83","","","そうだ！","","",""
"84","","","萌葱博士っていえば、ギフティアに搭載されている人工の心『アルマ』を、若くして開発した天才科学者だ。","","",""
"85","","","その頃はＳＡＩ社の社員だったけど、ずいぶん前に辞めちゃって、今は隠居生活を送ってるって話だったと思うけど。","","",""
"86","","","ふと、萌葱博士と目が合った気がした。","","",""
"87","萌葱博士","ユウ","おや、アイラじゃないか","","",""
"88","","","辺りをふらふらしていた博士は、アイラを見るなり、こっちに歩いてきた。","","",""
"89","アイラ","","久しぶり、博士","","",""
"90","","","博士を目の前にして、緊張した面持ちのアイラ。","","",""
"91","","","でも、博士の表情は全然変わらなかった。","","",""
"92","萌葱博士","ユウ","久しぶり？　そうだったか？","","",""
"93","ツカサ","","あの、ふたりは知り合いなんですか？","","",""
"94","萌葱博士","ユウ","君は、アイラのなんだね？","","",""
"95","","","……博士は俺の質問をまるで聞いてくれず、逆に質問してきた。","","",""
"96","","","すると、見かねたアイラが口を開く。","","",""
"97","アイラ","","博士は私を作った人なの","","",""
"98","ツカサ","","……えっ！","","",""
"99","ツカサ","","アイラの生みの親ってこと！？","","",""
"100","アイラ","","そう。だからはじめて起動したときに会ったことがある。……もうずっと昔の話だけど","","",""
"101","","","アイラを作ったのが、まさかアルマを開発した人だったなんて……。","","",""
"102","","","ギフティアは、そのすべてがオーダーメイドだ。","","",""
"103","","","購入希望者は、世界中に１１６ヶ所あるＳＡＩ社のショールームに足を運んでもらう。","","",""
"104","","","そこで担当者が、購入希望者から詳しく話を聞き、一緒にギフティアの外面・内面についての方針を決めていく。","","",""
"105","","","そこからＳＡＩ社の工場にてそのオーダー通りに調整されたギフティアが作られるわけだけど。","","",""
"106","","","ひとりのギフティアのボディと、内面――つまりアルマ――を作るのに、ひとりのエンジニアが全工程を担当する。","","",""
"107","","","ＳＡＩ社にはそういう、ギフティアを作るためのエンジニアが２００人以上いるんだ。","","",""
"108","萌葱博士","ユウ","で、君は誰だ？","","",""
"109","","","俺がそんなことを考えている間も、博士は俺のことをジロジロ見ていた。","","",""
"110","ツカサ","","あ、えっと、ＳＡＩ社第１ターミナルサービス所属の、水柿ツカサです！　アイラとパートナーを組ませてもらっています！","","",""
"111","萌葱博士","ユウ","ターミナルサービス……","","",""
"112","萌葱博士","ユウ","アイラは、ターミナルサービスで働いているのか","","",""
"113","アイラ","","うん","","",""
"114","萌葱博士","ユウ","そうか。で、ツクシくんと言ったか。君、今朝はなにを食べたんだ？","","",""
"115","ツカサ","","ツカサです……","","",""
"116","萌葱博士","ユウ","それは済まない。で、なにを食べた？","","",""
"117","ツカサ","","え、朝ご飯ですか？　サンドイッチですけど","","",""
"118","","","なんでいきなり、そんなことを聞くんだろう？","","",""
"119","萌葱博士","ユウ","サンドイッチか、悪くないな。実は２日前からなにも食べていないことを思い出してね、私もサンドイッチを食べることにしよう","","",""
"120","萌葱博士","ユウ","ところで、具材は？","","",""
"121","ツカサ","","具材？　ええと、ツナとハムと……","","",""
"122","萌葱博士","ユウ","今はツナの気分じゃないな。ハムは合格。タマゴは食べたのかね？","","",""
"123","ツカサ","","あ、はい。タマゴサンドも食べました","","",""
"124","萌葱博士","ユウ","朝食はハムサンドとタマゴサンドで決まりだな","","",""
"125","ツカサ","","はぁ……","","",""
"126","","","博士はかなりマイペースな人みたいだ。","","",""
"127","","","そして博士は俺から興味をなくすと、今度はアイラに向き直って。","","",""
"128","アイラ","","ひゃっ！？","","",""
"129","","","アイラの身体をペタペタと触り始めた。","","",""
"130","アイラ","","は、博士？","","",""
"131","","","博士の手はアイラの胸や太ももなど、とんでもない場所に触れている。しかも公衆の面前で。","","",""
"132","ツカサ","","ちょっと、なにしてるんですか！？","","",""
"133","萌葱博士","ユウ","ああ、気にしないでくれ。アイラの具合を診てるだけだ","","",""
"134","ツカサ","","気にしますよ！","","",""
"135","アイラ","","博士、それ以上は……！","","",""
"136","","","博士の手が股の辺りに伸びると、アイラはたまらず博士から逃げ出した。","","",""
"137","萌葱博士","ユウ","まだ終わっていないんだが","","",""
"138","ツカサ","","博士、もうやめてください。アイラが嫌がってます","","",""
"139","萌葱博士","ユウ","ふむ……。君はただのパートナーにしては、アイラを大事に扱うね","","",""
"140","ツカサ","","ただのパートナーじゃありませんから","","",""
"141","萌葱博士","ユウ","どういう意味だ？","","",""
"142","","","博士は好奇心もなにも感じさせない淡々とした口調のまま聞いてきた。","","",""
"143","ツカサ","","恋人なんです、俺たち","","",""
"144","萌葱博士","ユウ","ああ、恋人ね","","",""
"145","","","博士はまったく動揺しない。もともと知っていて、今思い出したかのような態度だ。","","",""
"146","萌葱博士","ユウ","キスはしたのか？","","",""
"147","ツカサ","","えっ？","","",""
"148","萌葱博士","ユウ","それ以上のこともしたのか聞きたいな。それ以上のことというのはつまり、性――","","",""
"149","ツカサ","","し、してませんよ！","","",""
"150","","","博士が言い終える前に、慌てて否定した。","","",""
"151","","","この人は本社のロビーでなんてことを言おうとしてるんだ……。","","",""
"152","萌葱博士","ユウ","なぜしない？　普通するだろう","","",""
"153","ツカサ","","な、なぜって……","","",""
"154","","","言葉に詰まる。","","",""
"155","","","ちらりとアイラを見ると、アイラは顔を赤くしていた。","","",""
"156","萌葱博士","ユウ","アイラも興味あるだろう？","","",""
"157","アイラ","","わ、わ、私は……","","",""
"158","アイラ","","興味は、その、あの、えと……！　ツ、ツカサのことは大好きだけど、興味はなくもないかもしれないけど、でも、は、は、恥ずかしいし……！","","",""
"159","萌葱博士","ユウ","なるほど。ツカサくん、アイラはああ言っているが、どう思う？","","",""
"160","ツカサ","","お、俺は！　アイラとの関係を大事にしていきたいと思っているので！　無理はしたくないです！","","",""
"161","萌葱博士","ユウ","……まあ、可能性は低くはないということか","","",""
"162","萌葱博士","ユウ","では、行為に及んだ際には詳細な報告を頼む","","",""
"163","ツカサ","","は、はぁ……","","",""
"164","","","実際アイラとそういうことがあっても、絶対に言うつもりはないけど。","","",""
"165","萌葱博士","ユウ","そうだ、君とアイラに私の連絡先を教えておこう","","",""
"166","","","博士は懐から名刺入れを取り出して、名刺を１枚、俺に渡してくれた。","","",""
"167","","","そこには住所とメールアドレスが書かれていた。","","",""
"168","萌葱博士","ユウ","感想はここに送ってくれ","","",""
"169","ツカサ","","そのために名刺をくれたんですか","","",""
"170","萌葱博士","ユウ","それだけじゃないさ","","",""
"171","萌葱博士","ユウ","いつでも遊びに来てくれていい。隠居生活は暇なんだ","","",""
"172","","","……もしかして、寂しいという意味だろうか。","","",""
"173","","","そう考えたけど、博士の表情は相変わらずで、なにを考えているのか分からなかった。","","",""
"174","アイラ","","博士の家に、行っていいの？","","",""
"175","萌葱博士","ユウ","歓迎しよう","","",""
"176","萌葱博士","ユウ","さて、帰るとするか。今日中にサンドイッチを食べなくては","","",""
"177","","","萌葱博士は、ふらふらと歩き出す。","","",""
"178","アイラ","","またね、博士","","",""
"179","萌葱博士","ユウ","ああ。また、そのうち","","",""
"180","","","そして、本社から出て行ってしまった。","","",""
"181","","","その直後。","","",""
"182","男性社員","","お待たせしました、萌葱博士。本日の打ち合わせですが――","","",""
"183","男性社員","","あれ？　博士？　博士っ！？","","",""
"184","","","どうやら萌葱博士は用事を終える前だったらしい。","","",""
"185","ツカサ","","ははは、すごい人だね……","","",""
"186","アイラ","","昔から、あんな感じだよ","","",""
"187","","","アイラを、人工の心『アルマ』を作ったという萌葱ユウ博士。今日はじめて会ったけど、マイペースで、変人で……。","","",""
"188","","","萌葱博士的という言葉ができそうなくらい、どこまでも博士らしい人だった。","","",""
"189","","","あの人にまた会える日が楽しみだ。","","",""
