"0","アイラのユニットテスティングルームでのテストは、回収日まで残り２週間を過ぎても継続していた。",""
"1","俺も最近は手持ちぶさたの時間が多いから、こうして見学するようにしている。",""
"2","唐突に切り出したオヤジさんの言葉に、俺とエルさんは驚いて息を呑んだ。",""
"3","でも、当のアイラは淡々としていた。",""
"4","アイラは静かにうなずき、プールの方へと向かった。",""
"5","今日で最後……か。\n刻一刻と、別れの時間は近づいているんだって、実感させられた。",""
"6","テストは時間通りに始まった。\nアイラはいつものようにプールに潜り、メニューをこなしていく。",""
"7","オヤジさんによれば、数値自体はそれほど大きく変化していないという。",""
"8","それでもアイラがテストを続けるのは、結局のところは“気休め”だって、前にもオヤジさんは言ってたっけ。",""
"9","そのとき、端末の着信音が鳴った。",""
"10","オヤジさんの端末だ。\nＡＲのモニタには、ＳＡＩ社の別部署の制服を着た男性の顔が表示された。",""
"11","オヤジさんはコンソールの前を離れ、しばらく端末の相手と話をしていた。",""
"12","やがて通話を終えると。",""
"13","オヤジさんはユニットテスティングルームを出て行ってしまった。",""
"14","さすがはベテランエンジニアだけあるなあ。",""
"15","にわかって、なにに対する……？",""
"16","ＳＡＩ社は、２０年前にギフティアをひっさげてアンドロイド業界に参入するまでは、義手・義足を扱う小さなメーカーだったっていうことは知っている。",""
"17","つまり、オヤジさんは俺が生まれるずっと前から、ＳＡＩ社で働いていたんだ……。",""
"18","え、あれ？　エルさん、なんでちょっと顔を赤らめてるんだろう？",""
"19","いけるクチって、どういう意味？",""
"20","恋愛対象になり得るとか、そういうこと？\nつまり、エルさんはオヤジさんに恋をしてるの？",""
"21","でも、年上って言っても限度があるんじゃ？\n年齢差はどれぐらいなんだろう？",""
"22","そもそもオヤジさんって、結婚してるのかな。\nもししてるなら、不倫ってことになっちゃうわけだけど……！",""
"23","っていうか、そもそもエルさんはあれだけアイラやザックに興奮したり着せ替えをさせようとしていたから、年下好きだと思ってた。",""
"24","そもそもギフティアにしか興味ないと思ってたし。\nアンドロイドマニアって、前に自分からそう言ってたじゃないか。",""
"25","まさか、それは年上好き――というよりオヤジさんのことを好き――っていう事実を隠すためのカムフラージュだった！？",""
"26","まずい！　いろいろ考えているうちに、目が回りそうになってきた！",""
"27","エルさんは俺が混乱していることに気付いた様子もなく、うっとりとした表情を浮かべている。",""
"28","これは……本気だ……。",""
"29","エルさんは、本気でオヤジさんのことを愛している。",""
"30","それなら、俺にできることは、応援。\nその想いを打ち明けてくれたことに、応えなくちゃ。",""
"31","真面目に考えて損した気分だよ……。",""
"32","アンドロイド保護法には、アンドロイドの人権を守るために、セクハラに関する条項も存在するんだ。",""
"33","いつの間にか、オヤジさんが戻ってきていた。",""
"34","エルさんは泣きそうな顔で、頭を下げている。\nさっきまでの浮ついた態度はすっかり消えてしまっている。",""
"35","オヤジさんの言うことはもっともだ。\nアイラの残り少ない時間を、少しでもこの目に焼き付けておかないと。",""
"36","俺は気を引き締めて、アイラの作業を見守った。",""
