"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","アイラ","","ローズヒップティー、淹れてみた","","",""
"1","","","今日もアイラと部屋で過ごす。","","",""
"2","","","部屋でのんびりする休日にハーブティーを飲むのは、もはや恒例となっていた。","","",""
"3","","","淹れたてのローズヒップティーは赤茶色で、まさに紅茶っていう色合いだった。","","",""
"4","ツカサ","","ローズヒップって、バラの花の……なんなんだろう？","","",""
"5","","","ローズがバラだっていうのは当然分かるけど、ヒップはなにを指してるのか。","","",""
"6","","","ローズヒップという名前を耳にしたことはあるけど、そこまで考えたことはなかった。","","",""
"7","アイラ","","ヒップは、バラの実っていう意味みたい","","",""
"8","アイラ","","だから本当はヒップだけで名前として十分なんだけど、なぜかローズが付いて、ローズヒップになってる","","",""
"9","","","確かに、ヒップだけでバラの実という意味なら、ローズを付けたらバラのバラの実というおかしなことになってしまう。","","",""
"10","ツカサ","","語呂がよくてそうなってるとか？","","",""
"11","アイラ","","だと思う","","",""
"12","","","そう言って、アイラはローズヒップティーを置いた低いテーブルの前にしゃがみ込む。","","",""
"13","","","俺も同じようにしゃがむと、お茶の香りが鼻をくすぐった。","","",""
"14","ツカサ","","いただきます","","",""
"15","アイラ","","うん","","",""
"16","","","冷めないうちに口を付ける。","","",""
"17","","","と、アイラは俺を見て。","","",""
"18","アイラ","","子供ができたら、どんな子がいい？","","",""
"19","ツカサ","","ブハッ！！","","",""
"20","","","ハーブティーを吹き出してしまった。","","",""
"21","ツカサ","","げほげほげほっ！","","",""
"22","アイラ","","だ、大丈夫？　今拭くもの持ってくるので！","","",""
"23","","","アイラは立ち上がってキッチンへ走ると、布巾を取って戻ってきた。","","",""
"24","ツカサ","","ありがとう。自分で拭くよ","","",""
"25","","","アイラの手から布巾を受け取って、テーブルや床に飛び散ったお茶をキレイに拭いた。","","",""
"26","ツカサ","","はぁ、びっくりした……","","",""
"27","","","子供ができたら、どんな子がいい？","","",""
"28","","","そんなことを聞かれるなんて、全然思ってなくて。","","",""
"29","","","そもそも、どうして、そういう話が出てきたんだろう？","","",""
"30","","","その理由が気になった。","","",""
"31","誰に吹き込まれたのか聞く","どうして子供の話になったのか聞く","","","dummy","dummy"
"32","ツカサ","","誰に吹き込まれたの、子供の話","","",""
"33","","","アイラが自発的にこういう話をすることはない。","","",""
"34","","","となれば、会社かどこかで誰かに言われたに違いないと思った。","","",""
"35","アイラ","","吹き込まれる？","","",""
"36","","","アイラはよく分かっていないみたいだった。","","",""
"37","ツカサ","","誰かに言われたから、俺に子供の話をした。……だよね？","","",""
"38","アイラ","","違うよ、これは自分で考えたの","","",""
"39","ツカサ","","アイラが……自分で？","","",""
"40","","","予想外の答えだった。","","",""
"41","ツカサ","","ねえ、アイラ。どうして子供の話になったの？","","",""
"42","アイラ","","ローズヒップは妊婦さんのお茶だったなって思い出したの。そしたら、子供のことを考えちゃって","","",""
"43","","","俺には唐突に思えたけど、話を聞いたら実にアイラらしい発想だった。","","",""
"44","ツカサ","","お茶に、妊婦さん用とかあるんだね","","",""
"45","アイラ","","妊娠中はカフェインを摂取すると、お腹の子に負担をかけたりしちゃうんだって。だから、カフェインが入っていないお茶は、妊婦さん用ってことになってるみたい","","",""
"46","ツカサ","","へえ、知らなかった","","",""
"47","","","……それにしても、アイラから子供の話をされるなんて思ってもみなかった。","","",""
"48","","","でも、アイラだって女の子だし、そういうことに興味があるのかな。","","",""
"49","ツカサ","","子供のこと、かぁ。考えたことないなあ","","",""
"50","","","社会人になったばかりの俺には、まだ遠い未来のことだと思ってた。","","",""
"51","アイラ","","私も、考えるようになったのは最近。考えるって言っても、なんとなく憧れてるみたいな感じだけど","","",""
"52","ツカサ","","憧れなんだ？","","",""
"53","アイラ","","うん、なんとなく憧れ","","",""
"54","アイラ","","生まれてからずっと人の繋がりを見てきて、私もその中に混ざったらどうなるだろうって、想像するの","","",""
"55","アイラ","","ギフティアは子供を産めないけど、もし産むことができたら、どういう気持ちになるんだろう？　母親ってどういう気持ちなんだろう？　って、そういうこと考えちゃう","","",""
"56","アイラ","","もちろん母親じゃなくて、自分が子供っていうのでもいいけど、一番身近なのが母親っていう立場だったから","","",""
"57","","","人とギフティアとの間では、恋愛を許されていても、決して子供は作れない。人とギフティアじゃ、決定的にそこが違う。","","",""
"58","","","絶対に手の届かない、命を宿すっていう行為。","","",""
"59","","","アイラの話を聞いて、俺も頭の中で想像する。","","",""
"60","","","もしアイラとの間に子供を作ることができたら……。","","",""
"61","ツカサ","","もしも、の話として。アイラはどんな子がほしい？","","",""
"62","アイラ","","私？　私は……","","",""
"63","","","ローズヒップティーを飲みながら、アイラは考えている。","","",""
"64","アイラ","","自分の子供って考えると、やっぱりどこか似てると思うから……花が好きな子かな？","","",""
"65","","","花が好きな子と聞いて思い浮かんだのは女の子。それも小さいアイラだった。","","",""
"66","","","……って、本当にアイラを小さくしただけだ。","","",""
"67","","","自分の想像力の乏しさに悲しくなった。","","",""
"68","アイラ","","ツカサはどう思う？","","",""
"69","","","意見を求められて、俺はアイラの子供を考えてみた。","","",""
"70","ドジでかわいい気がする","笑顔が似合う気がする","","","dummy","dummy"
"71","ツカサ","","アイラの子なら、ドジでかわいい気がする","","",""
"72","アイラ","","ド、ドジ？","","",""
"73","","","アイラは心外だという顔をした。","","",""
"74","アイラ","","ツカサは私のことドジだと思ってるんだ","","",""
"75","ツカサ","","うん","","",""
"76","アイラ","","うぅ……","","",""
"77","ツカサ","","でもそれがアイラのかわいいところだから","","",""
"78","アイラ","","ドジは、かわいいの？","","",""
"79","ツカサ","","アイラのドジはかわいいよ","","",""
"80","","","不機嫌な顔で、俺の言葉を吟味するアイラ。","","",""
"81","アイラ","","……よく分からないけど、分かった","","",""
"82","","","相変わらず心外そうだけど、一応理解を示してくれた。","","",""
"83","ツカサ","","アイラの子なら、笑顔が似合うと思うな","","",""
"84","アイラ","","笑顔……","","",""
"85","","","アイラは両手で、自分の口の端に触れた。","","",""
"86","アイラ","","笑顔、似合ってるかな？","","",""
"87","ツカサ","","似合ってるよ、すごく","","",""
"88","ツカサ","","笑顔のアイラはかわいいしね","","",""
"89","アイラ","","……！","","",""
"90","アイラ","","そ、そうなんだ","","",""
"91","アイラ","","自分では、苦手にしてたんだけど","","",""
"92","ツカサ","","確かに、前はすごく無理矢理笑ってた感じがあったけど","","",""
"93","ツカサ","","最近のアイラは、自然に笑ってくれるから","","",""
"94","アイラ","","自然に……","","",""
"95","アイラ","","うん。えへへ","","",""
"96","","","アイラは恥ずかしそうに目を伏せて、それから気持ちを落ち着けるようにローズヒップティーを口にした。","","",""
"97","ツカサ","","ところでさ","","",""
"98","ツカサ","","今は自分の子供っていうことで考えてたけど、そういうのなしでアイラは純粋にどういう子供が好きなの？","","",""
"99","","","気になって、アイラに質問した。","","",""
"100","アイラ","","好きとはちょっと違うけど……","","",""
"101","アイラ","","育てるなら、いい子よりも少し手間がかかる子がいいな","","",""
"102","アイラ","","しっかりし過ぎてると、育ててるっていう気持ちが薄くなっちゃいそう","","",""
"103","ツカサ","","あっ、それ言えてるかも","","",""
"104","","","ダメな子ほどかわいいっていう言葉もある。","","",""
"105","","","実際、すぐに自分の手から巣立ってしまう子よりも、長く一緒にいる子の方が愛着が沸くんだと思う。","","",""
"106","アイラ","","ツカサは、どういう子供がいい？","","",""
"107","運動が得意な子","勉強が得意な子","","","dummy","dummy"
"108","ツカサ","","運動が得意な子かな","","",""
"109","ツカサ","","休みの日、公園に行って一緒にサッカーしたり、キャッチボールしたりしてさ。そういうの楽しそうだなって思う","","",""
"110","アイラ","","そしたら、私はお茶とお弁当を用意して後から公園に行きたいな","","",""
"111","アイラ","","芝生の上にレジャーシートを敷いて、みんなで食べるの","","",""
"112","","","アイラの言葉で、その光景が目に浮かぶ。","","",""
"113","","","ステレオタイプではあるけど、それは最高の休日だった。","","",""
"114","ツカサ","","俺もそういうの憧れるよ","","",""
"115","ツカサ","","勉強が得意な子かな","","",""
"116","ツカサ","","俺はすごく勉強できるってわけじゃなかったから、子供にはそうなってほしいなって思う","","",""
"117","アイラ","","私も、そういう気持ちあるかも","","",""
"118","アイラ","","自分ができなかったとか、後悔したことを子供にやってもらうっていうか……","","",""
"119","アイラ","","自分の子には、自分よりもいい人生を送ってもらいたいって思うよね","","",""
"120","ツカサ","","そうだね。……そう考えると、子供の頃には理解できなかった親の言葉の意味が、分かる気がするよ","","",""
"121","","","昔は理不尽に感じていたことも、今は俺のことを考えてくれてたんだなって思える。","","",""
"122","","","親と子供って、そういうものなのかもしれない。","","",""
"123","アイラ","","子供っていいな","","",""
"124","","","もし自分たちに子供がいたらという想像を膨らませて、アイラは目をキラキラと輝かせていた。","","",""
"125","","","その表情が、なんというか。","","",""
"126","ツカサ","","アイラも子供みたいな感じだけどね","","",""
"127","アイラ","","むぅ……","","",""
"128","","","あからさまにヘソを曲げられてしまった。","","",""
"129","ツカサ","","あはは、冗談だよ","","",""
