"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","アイラ","","スムージーっておいしいね","","",""
"1","ツカサ","","そうだね、この時期には丁度いいし","","",""
"2","","","今朝の朝食後のデザートとして、アイラが用意したバナナとマンゴーのスムージーを一緒に飲んでいた。","","",""
"3","","","ほどよい冷たさが喉を通って気持ちいい。","","",""
"4","","","……それにしても、朝食にデザートが付いているなんて贅沢だ。","","",""
"5","","","どうしてこうなったかといえば。","","",""
"6","ツカサ","","ミチルに教えてもらったんだっけ？　スムージーのこと","","",""
"7","アイラ","","ミチルとエル。昨日、部屋に行ったら教えてくれた","","",""
"8","ツカサ","","最近、よく話してるよね","","",""
"9","アイラ","","うん。ツカサと恋人になってから、機会が増えるようになって","","",""
"10","","","同性の友達とおしゃべりをして楽しく過ごす。そういう日常をアイラは過ごせるようになったんだ。","","",""
"11","アイラ","","他にはね、スイーツの話もしたの。最近この辺りにパンケーキ専門店ができて、すごい行列なんだって","","",""
"12","ツカサ","","スムージーにパンケーキって、食べ物の話が多いんだね","","",""
"13","アイラ","","あ、でも、ファッションの話もしたよ。好きな洋服屋さんのこととか、マニキュアのこととか","","",""
"14","ツカサ","","へえ、そっか","","",""
"15","","","まさに女子ならではの話題っていう感じで、微笑ましい。","","",""
"16","","","俺の知らないところでも、アイラは楽しく過ごせているみたいだ。","","",""
"17","アイラ","","ツカサは、その……","","",""
"18","ツカサ","","ん？","","",""
"19","","","アイラはなにか言いかけて、モジモジしてる。","","",""
"20","ツカサ","","どうしたの？","","",""
"21","アイラ","","マニキュアのこと、どう思うかなって","","",""
"22","ツカサ","","マニキュア、かあ……","","",""
"23","","","考えたこともなかった。\n男の自分がつけることはまずないから。","","",""
"24","ツカサ","","マニキュアを付けてる人は、指がキレイに見える","","",""
"25","アイラ","","うん。……そういう子、どう？","","",""
"26","ツカサ","","あ……","","",""
"27","","","アイラが聞きたかったのはマニキュア自体の感想じゃなくて、マニキュアを使っている女の子のことだったんだと今になって気が付いた。","","",""
"28","ツカサ","","マニキュアをつけた女の子か。そうだな……","","",""
"29","気にしたことがないと言う","アイラのなら見たいと言う","","","dummy","dummy"
"30","ツカサ","","あんまり気にしたことはないかな。女の子の爪をじっくり見ることなんて、そうそうないから","","",""
"31","アイラ","","そうなんだ……","","",""
"32","ツカサ","","あ、でも、そういうところに気を遣うのはいいことだよね。自分じゃできないから、すごいと思うよ","","",""
"33","アイラ","","そっか","","",""
"34","","","アイラはそう言って、何度かうなずくと。","","",""
"35","アイラ","","私、やってみる","","",""
"36","ツカサ","","やってみるって……。マニキュアのこと？","","",""
"37","アイラ","","うん。昨日、エルに借りたので","","",""
"38","ツカサ","","アイラのマニキュアなら、見たいかな","","",""
"39","アイラ","","わ、私のなら……？","","",""
"40","ツカサ","","うん。好きな人がキレイになるのは、恋人としては嬉しいからさ","","",""
"41","","","うわ、すごくキザっぽいこと言っちゃった……。","","",""
"42","アイラ","","分かった","","",""
"43","","","と、アイラは真面目にうなずいた。","","",""
"44","ツカサ","","分かったって……？","","",""
"45","アイラ","","こんなこともあろうかと、道具を借りておいたので","","",""
"46","ツカサ","","えっ、そうだったの？","","",""
"47","アイラ","","ツカサのためにも、キレイになる","","",""
"48","ツカサ","","そ、そう？","","",""
"49","","","どうやらアイラは最初からやる気満々だったらしい。","","",""
"50","","","でも迷いがあって、最後のひと押しがほしかったみたいだ。","","",""
"51","","","やると決まったら、アイラはスムージーをごくごく飲み干して、借りてきたというマニキュア道具を出し始めた。","","",""
"52","ツカサ","","俺もなにか手伝おうか？","","",""
"53","アイラ","","ううん。ひとりでできる","","",""
"54","","","アイラはそう言って、窓際の低いテーブルにいろいろな道具を置いていく。","","",""
"55","","","こういうところを見ると、女の子って大変だなという気持ちになった。","","",""
"56","","","俺なんて寝癖を気にするくらいだし。","","",""
"57","","","アイラは準備を終えると、テーブルの前に座り、早速マニキュアの小さなビンに手を付けた。","","",""
"58","","","似たようなビンが何個も並んでいて、俺にはなにがなんだか分からない。","","",""
"59","ツカサ","","いろんな色を使うんだね","","",""
"60","アイラ","","ううん、一色だけだよ。でも、いろいろ塗らないとキレイに塗れないの","","",""
"61","ツカサ","","えっ、一色塗るのに、そんなに使うの？","","",""
"62","アイラ","","使うのは４つ。いっぱいあるのは、どの色にするか迷ってるから","","",""
"63","ツカサ","","そ、そっか","","",""
"64","","","でも、４つも使うとなると大変だ。爪の数を考えると、４０回も塗らないといけないわけだし……。","","",""
"65","","","女の子は出かける準備に時間がかかるっていうけど、その理由が分かった気がした。","","",""
"66","アイラ","","まずはプレプライマーから","","",""
"67","","","ぷれ……ぷらいまー？","","",""
"68","","","アイラは小さなビンのフタを回して外す。フタの下にはブラシが付いていて、そこに液体がたっぷり染み込んでいた。","","",""
"69","","","アイラはブラシを爪まで持っていき、ゆっくりと塗り始める。","","",""
"70","アイラ","","ん……","","",""
"71","","","小さい爪を塗るのは大変らしく、肩に力が入っている。","","",""
"72","アイラ","","あっ、はみ出した","","",""
"73","","","アイラは慌ててティッシュを取ると、はみ出したところを拭いた。","","",""
"74","","","そして、また塗りを再開して――。","","",""
"75","アイラ","","わっ！","","",""
"76","","","また、はみ出した。","","",""
"77","アイラ","","うぅ……","","",""
"78","","","最初はやる気満々だったのに、失敗ばかりですっかり意気消沈しちゃってる。","","",""
"79","","","見ていて、俺はものすごく不安になってきた。","","",""
"80","アイラを励ます","アイラを手伝う","","","dummy","dummy"
"81","ツカサ","","アイラ、頑張って。落ち着いてやればできるよ","","",""
"82","アイラ","","が、頑張る！","","",""
"83","","","再びアイラは爪を塗る。今度は今まで以上にゆっくり慎重に……。","","",""
"84","アイラ","","……っ！","","",""
"85","","","アイラはビクッと身体を震わせた。","","",""
"86","","","手元を見ると、また爪からはみ出したみたいだ。","","",""
"87","アイラ","","全然ダメ……","","",""
"88","ツカサ","","慣れないと、難しいのかもね","","",""
