"","","仕事が休みの俺たちは、ダイニングで少し遅めの朝食を取っていた。","","",""
"","","今朝のメニューは、アイラが作ってくれたトーストと目玉焼き。もちろん、ハーブティーも付いている。","","",""
"アイラ","","今日、ミチルとザックも休みだよね？","","",""
"ツカサ","","そのはずだよ","","",""
"","","記憶が正しければ、社内のカレンダーにはそう書かれていた。","","",""
"ツカサ","","でも、どうして？","","",""
"アイラ","","仕事以外の時間で、一緒に過ごしたことあんまりないなと思って","","",""
"ツカサ","","言われてみれば","","",""
"","","オフィスも寮も一緒だから、そんな気はしていなかったけど……。","","",""
"","","確かに、４人でプライベートな時間を過ごしたことはあまりない。","","",""
"アイラ","","ふたりと一緒に、なにかできないかな？","","",""
"","","アイラの言葉を受けて、どんなことがいいか考えてみた。","","",""
"ツカサ","","お茶会とか、いいんじゃないかな","","",""
"","","朝食に付いているハーブティーを見て、そう思った。","","",""
"アイラ","","お茶会？","","",""
"ツカサ","","ふたりを部屋に招待して、お茶を振る舞うんだよ。そういうの、俺たちらしいからって","","",""
"","","アイラは少し考える素振りを見せて、それからうなずいた。","","",""
"アイラ","","それ、いいかも。楽しそう","","",""
"ツカサ","","じゃあ、決まりだね","","",""
"ツカサ","","遊園地に出かけたら、いいんじゃないかな","","",""
"アイラ","","遊園地……","","",""
"","","アイラはしばらく窓の外を眺めて、首を横に振った。","","",""
"アイラ","","そこまで大きいことじゃなくて、もっと普通のことがいい","","",""
"ツカサ","","普通のこと、か","","",""
"","","そう言われて、頭に浮かんでいたもうひとつの案を言ってみることにする。","","",""
"ツカサ","","じゃあ、お茶会っていうのはどう？　ふたりを部屋に招待してさ","","",""
"","","それならアイラが言う普通のことに当てはまる気がした。","","",""
"アイラ","","みんなでお茶会……。%t1500;うん、いいと思う","","",""
"","","アイラが納得してくれて、今日の予定が決まった。","","",""
"ツカサ","","これを食べたら、ミチルとザックのこと招待しに行ってくるよ","","",""
"アイラ","","うん。その間に、私はお茶の準備するね","","",""
"","","ミチルとザックを招待してのお茶会……。","","",""
"","","今日はいつもと違った休日になりそうだ。","","",""
"","","インターホンを鳴らすと、部屋から出てきたのはザックだった。","","",""
"ザック","","あ、ツカサが訪ねてくるなんて珍しいね","","",""
"ザック","","どうしたの？　またアイラと喧嘩した？","","",""
"ツカサ","","違うよ。今日はザックとミチルに用があって来たんだ","","",""
"ザック","","僕たちに用事？","","",""
"ツカサ","","お茶会へのお誘いだよ","","",""
"ツカサ","","今日、俺たちの部屋でやろうと思ってるんだけど、どうかな？","","",""
"ザック","","僕はいいけど……","","",""
"","","ザックはドアが開いたままの部屋を振り返った。","","",""
"ザック","","ねえ、ミチル！　今日ってなにか予定あったっけ？","","",""
"ミチル","","言ったでしょ、お菓子作るって。これから買い出しに行くんだから","","",""
"ザック","","だってさ","","",""
"ツカサ","","じゃあ、難しいか","","",""
"ザック","","なに言ってるの。その逆でしょ","","",""
"ツカサ","","えっ？","","",""
"","","そのとき、出かける準備を済ませたミチルが部屋から出てきた。","","",""
"ミチル","","あら、ツカサじゃない。ザックに用事？","","",""
"ザック","","僕たちに用事だよ","","",""
"ミチル","","えっ、そうなの？","","",""
"ザック","","今日、ツカサたちの部屋でお茶会するから来てほしいって","","",""
"","","すると、ミチルの表情が明るくなった。","","",""
"ミチル","","あ、ちょうどよかった！","","",""
