"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","","","街へ買い物に出かけたとき、アイラはゆるキャラの着ぐるみにものすごく興味を示していた。","","",""
"1","","","そのときの印象が強かったせいで、ゆるキャラの着ぐるみに関するなにかをアイラにしてあげたいという気持ちがずっと残っている。","","",""
"2","","","だから今日は意を決して、エルさんに相談することにした。","","",""
"3","ツカサ","","――というわけなんですが","","",""
"4","","","仕事中に悪いかなと思いつつ、メンテナンスルームを訪ねてみたら、エルさんは快く話を聞いてくれた。今日はオヤジさんが出かけていて不在だからっていうのもあるのかもしれない。","","",""
"5","エル","","ふむふむ、着ぐるみですか。アイラっちはかわいいものが好きみたいですからね","","",""
"6","ツカサ","","もちろん本物の着ぐるみである必要はないと思ってます。値段の問題とかもありますし……","","",""
"7","","","詳しくはないけど、一般的な服より高いことは明らかだ。","","",""
"8","エル","","お金で解決できるなら、安いものですよ～","","",""
"9","エル","","とはいえ、アイラっちに本物の着ぐるみを着せても、いろんな部分が隠れてしまってなんの面白味もありません！","","",""
"10","エル","","なので、着ぐるみ風の衣装を着てもらいましょう！","","",""
"11","ツカサ","","着ぐるみ風の衣装……？　それってどこに売ってるんですか？","","",""
"12","","","自分で提案した手前、自分で買ってこようと思い、聞いてみた。","","",""
"13","","","するとエルさんは。","","",""
"14","エル","","持ってます、持ってます","","",""
"15","","","さも当たり前のように言った。","","",""
"16","ツカサ","","持ってるんだ……","","",""
"17","エル","","いっぱい種類ありますけど、どういうのにします？","","",""
"18","エル","","アイラっちが喜びそうなものを教えてもらえたら、近しいのを持ってきますよ","","",""
"19","なにを持っているか聞く","街で見た着ぐるみを思い出す","","","dummy","dummy"
"20","ツカサ","","エルさんがなにを持っているのか教えてもらえますか？","","",""
"21","エル","","私が持っているのは、ネコ、ブタ、ウサギ、ペンギン、トラ、クマ――","","",""
"22","ツカサ","","えっ、え？","","",""
"23","エル","","イヌ、オオカミ、ウシ、コアラ、トラ、リス、カンガルー、ウォンバット――","","",""
"24","","","呪文のように続くエルさんの言葉。","","",""
"25","","","そのあまりの多さに、途中から耳に入ってこなくなってしまった。","","",""
"26","エル","","――という感じですけど、この中だとどれがいいですかね？","","",""
"27","ツカサ","","…………","","",""
"28","エル","","ツカサっち？　私の話聞いてます？","","",""
"29","ツカサ","","……エルさんの、オススメで……","","",""
"30","エル","","分かりました！　では今すぐ見繕ってきますね","","",""
"31","ツカサ","","街で見たゆるキャラと似ているものがいいと思うので……","","",""
"32","","","言いながら、ゆるキャラの記憶を呼び起こした。","","",""
"33","ツカサ","","白いウサギとかって、ありますか？","","",""
"34","エル","","もちろん！　そうと決まれば、仕事なんてしてる場合じゃありません","","",""
"35","","","エルさんは慌ただしくメンテルームを出て行った。","","",""
"36","ツカサ","","…………","","",""
"37","ツカサ","","仕事はいいんですか……","","",""
"38","エル","","遅いですよ、ツカサっち！","","",""
"39","","","俺が寮に戻ると、部屋の前でエルさんが待ち構えていた。","","",""
"40","","","鼻息も荒く、紙袋を手渡してくる。\n中を見ると、包装された荷物が入っている。","","",""
"41","","","これって。","","",""
"42","ツカサ","","わざわざ包んでくれたんですか！？","","",""
"43","エル","","普通に渡そうと思ったんですけどね、アイラっちのことを思ったら、手が勝手に。あはは","","",""
"44","エル","","せっかくなので、ツカサっちからのプレゼントってことで渡しちゃってください","","",""
"45","ツカサ","","でも、それじゃあ……","","",""
"46","","","エルさんが用意したのに、報われないというか。","","",""
"47","エル","","気にしないでください。そもそも今回はツカサっちからの提案だったわけですし","","",""
"48","エル","","それに私の目的はアイラっちのかわいい姿を見ること！　あとでちょっとだけ視察させてもらえたら満足です！","","",""
"49","ツカサ","","エルさん……","","",""
"50","","","いつも暴走してばかりだったけど、今日は特別優しかった。","","",""
"51","ツカサ","","ありがとうございます。俺、行ってきます！","","",""
"52","","","感謝を込めて一礼してから、俺はアイラがいる自分たちの部屋へ舞い戻った。","","",""
"53","アイラ","","……あ、ツカサ","","",""
"54","","","入ってすぐに、室内を見回していたアイラと目が合った。","","",""
"55","アイラ","","会社に用事って、結局なんだったの？","","",""
"56","ツカサ","","あ、ええと、ちょっと荷物を取りにいってて","","",""
"57","アイラ","","荷物って、それ？","","",""
"58","","","紙袋に気付いて、アイラが聞いてきた。","","",""
"59","","","……渡すなら、このタイミングだ。","","",""
"60","","","そう確信して、エルさんが用意してくれた紙袋を差し出した。","","",""
"61","ツカサ","","アイラに渡そうと思ったんだ","","",""
"62","ツカサ","","プレゼント、受け取ってくれる？","","",""
