"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","ツカサ","","ふわぁ～","","",""
"1","","","朝、あくびをしながら身支度を整える。","","",""
"2","","","顔を洗って、歯を磨いて……。そして、ブラシで簡単に髪をとかす。","","",""
"3","ツカサ","","……ん？","","",""
"4","","","ふと視線を感じて振り返ると。","","",""
"5","","","アイラがこっちを見ていた。","","",""
"6","ツカサ","","アイラ、おはよう","","",""
"7","アイラ","","……おはよう","","",""
"8","アイラ","","…………","","",""
"9","","","アイラは挨拶した後も、まじまじと俺を見ている。","","",""
"10","ツカサ","","ええと、どうしたの？","","",""
"11","アイラ","","ツカサが髪とかすの見てる","","",""
"12","ツカサ","","べ、別に珍しいことじゃないよね？","","",""
"13","アイラ","","私はあんまりとかさないから、不思議な感じ","","",""
"14","ツカサ","","そ、そうなの？","","",""
"15","","","アイラがあまり髪をとかさないというのは意外な話だった。","","",""
"16","ツカサ","","アイラは髪が長いから、とかさないと絡んだりするんじゃ……","","",""
"17","アイラ","","とかすと大変なことになる","","",""
"18","ツカサ","","大変なことって？","","",""
"19","","","聞くとアイラは黙って俺からブラシを奪い、自分の髪を何度かとかした。","","",""
"20","","","すると……。","","",""
"21","ツカサ","","えっ！","","",""
"22","","","アイラの髪がピョンと跳ねた。","","",""
"23","","","とかしたところだけ、外向きにカールしてしまっている。","","",""
"24","ツカサ","","これってどういう原理……？","","",""
"25","アイラ","","クセっ毛","","",""
"26","ツカサ","","アイラって、クセ毛だったの！？","","",""
"27","","","し、知らなかった……。","","",""
"28","","","確かに、すごく丁寧に整えてるってことはなかったけど、こういう理由だったんだ。","","",""
"29","ツカサ","","っていうか、ギフティアにもクセ毛ってあるんだ","","",""
"30","アイラ","","ギフティアの髪は人工的なものなので、手入れしなくてもサラサラなのが普通","","",""
"31","ツカサ","","えっ？　でも、アイラは……","","",""
"32","アイラ","","最初からクセっ毛だった。理由は分からないけど","","",""
"33","ツカサ","","そ、そっか。アイラは髪質にも個性があるんだね","","",""
"34","アイラ","","……変、だよね？","","",""
"35","","","そう尋ねるアイラは、落ち込んだような顔をしていた。","","",""
"36","それが個性だと言う","俺にも変なところがあると言う","","","dummy","dummy"
"37","ツカサ","","変だけど、それが個性じゃないかな","","",""
"38","アイラ","","変なのが個性？","","",""
"39","ツカサ","","回ってる洗濯機をずっと見たり、ハンバーガーを分解して食べたり……。そういうのは個性だと思う","","",""
"40","","","アイラは怪訝な顔をした。","","",""
"41","アイラ","","今言ったの、ツカサのクセ？","","",""
"42","ツカサ","","違うよ！　例として言っただけ、例として","","",""
"43","アイラ","","変なのは個性か……","","",""
"44","","","アイラは煮え切らない様子だったけど、それ以上なにも言わなかった。","","",""
"45","ツカサ","","俺にも変なところあるよ","","",""
"46","アイラ","","え、ツカサにも？","","",""
"47","ツカサ","","俺も髪をとかしても、毛先の方は跳ねちゃうんだ","","",""
"48","アイラ","","そうなんだ","","",""
"49","","","アイラは俺の髪をじっと見つめた。","","",""
