"0","窓から差し込む日差しは、初夏っていうこともあって、まだ柔らかい。",""
"1","今日はすでに昼食も済ませて、俺とアイラは部屋でのんびり過ごすことに決めていた。",""
"2","アイラは充電装置に座って。俺はそのすぐ傍らにしゃがみ込んで、ぼんやりくつろいでいるところだ。",""
"3","俺の手元には、ハーブティーが入ったマグカップ。",""
"4","寄り添うようにして陽に当たる俺たちは、冬の日にひなたぼっこする猫みたいだ。",""
"5","窓も開けているから、初夏の風が部屋に優しく吹き込んでくる。",""
"6","うーん、気持ちいい……。",""
"7","アイラの言葉は純粋に嬉しい。まったく同じことを思っていてくれたって、分かったから。",""
"8","開け放した窓から、また風が吹き込んできた。\nレースカーテンが揺れる。",""
"9","俺たちは顔を見合わせて笑い、それからまた黙って頬に風を感じるのに巻かせる。",""
"10","無言の時間すらも、今は心地よくて。",""
"11","なんとなく、アイラの充電装置にもたれかかった。",""
"12","風に意識を傾けているうち、そのゆるやかなリズムに癒され……まぶたが落ちてくる。",""
"13","最近、心のどこかに漠然と存在していた不安が、風に飛ばされていく気がした。",""
"14","なにも心配なことなんてないよね。今、俺は幸せで……。",""
"15","アイラの優しい声がかろうじて聞こえ、俺の意識は沈んでいった。",""
"16","額のあたりに、感触がある。",""
"17","髪を、撫でられている。温かく柔らかい手で。",""
"18","まるで母親のような優しい手つき。",""
"19","とても心地よくて。ずっとそうされていたい。",""
"20","俺は目を開けた。",""
"21","充電装置に腰かけたアイラが、微笑みながら俺の顔を眺めている。",""
"22","俺は慌てて、自分の唇の端を拭った。",""
"23","と、そこで俺の頭を撫でていた手が離れていった。ちょっと名残惜しさを感じたけど、それを口にしたらさすがに甘えてるみたいになっちゃうので、ぐっと我慢した。",""
"24","確かに、まだ眠気はある。",""
"25","そうだなあ……。",""
"26","アイラがあからさまに目を輝かせた。\nどうやら決まりみたいだ。",""
"27","アイラは俺に、腕枕をしてほしいとお願いしてきた。\nもちろんそれを断る理由なんてない。",""
"28","俺の腕に、アイラの頭の重みが直接伝わってくる。\n長い髪が触れて、ちょっとくすぐったい。",""
"29","アイラの顔がすごく近くにあるから、心拍数が上がってしまう。\nそもそもこれ、添い寝してる状態なわけだし。",""
"30","と、アイラはさらに身体を寄せてきた。甘えるように俺の胸へと顔を埋めてくる。",""
"31","腕枕ですっかりドキドキしちゃって、眠気なんて吹っ飛んじゃったわけだけど。",""
"32","アイラの言葉を聞きながら、俺は目を閉じた。",""
"33","部屋を静寂が包み、二人の吐息だけが響く。",""
"34","…………。",""
"35","……。",""
"36","……やっぱり、眠れない。",""
"37","もう、眠気なんてまったくない。\n目を閉じたことで、アイラの気配もますます近くに感じるし。",""
"38","どうしよう……。",""
"39","薄っすらと目を開けて様子をうかがってみると、アイラは目をつぶっていた。",""
"40","寝たのかな？",""
