"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"0","","","アイラが大きなマットを持って部屋に戻ってきた。","","",""
"1","","","小柄な身体に不釣合いなそのマットを、アイラは抱えるようにして持っている。","","",""
"2","ツカサ","","アイラ、それどうしたの？","","",""
"3","アイラ","","エルにもらったの","","",""
"4","ツカサ","","エルさんに？","","",""
"5","","","それは、嫌な予感がする。","","",""
"6","ツカサ","","いったい、なにに使うマット？　かなり大きいけど","","",""
"7","アイラ","","ふたりでできる面白いゲームに使うものだって、エルは言ってた","","",""
"8","","","ゲーム？","","",""
"9","ツカサ","","ちょっと見せて","","",""
"10","","","俺はアイラからマットを受け取ると、床に広げてみた。","","",""
"11","","","マットは白地で、そこに等間隔で赤、青、緑、黄の４色の丸印が配置されている。","","",""
"12","","","これは……まさか……。","","",""
"13","アイラ","","ツカサ、どういうゲームかわかった？","","",""
"14","ツカサ","","う、うん……一応は……","","",""
"15","アイラ","","じゃあ、一緒にやってみよう。ふたりでできるゲームなんでしょう？","","",""
"16","","","アイラは瞳を輝かせ、俺をうながしてくる。","","",""
"17","","","エルさん、あえてこのゲームを選ぶなんて。\n絶対によからぬことを考えているに違いない。","","",""
"18","","","俺はとっさに窓の外を見た。エルさんがこっそりのぞき見していないかと思ったんだ。","","",""
"19","","","さらに部屋中を探し回り、隠しカメラがないかを確かめていく。","","",""
"20","アイラ","","ツカサ？　どうかしたの？","","",""
"21","ツカサ","","ああ、いや……。取り越し苦労だったみたい","","",""
"22","","","エルさんなら、絶対そういう罠を仕込んでいそうな気がしたんだけど。","","",""
"23","アイラ","","ツカサは、やりたくない？","","",""
"24","ツカサ","","ええと、やってもいいんだけど……","","",""
"25","","","このゲームは進行していくにつれて、プレイヤー同士の身体の接触が大きくなるんだ。アイラはそれを知らないはず。事前に教えておいた方がよさそうだ。","","",""
"26","ツカサ","","じゃあ、とりあえずルールを説明するから、それで判断してね","","",""
"27","アイラ","","うん！","","",""
"28","ツカサ","","このゲームは、そもそも身体を使って遊ぶものなんだ","","",""
"29","アイラ","","うんうん","","",""
"30","ツカサ","","ＡＩに司会進行してもらって、指示された色に同じく指示された左右の手足を置いてくんだよね。ふたりが交互に","","",""
"31","ツカサ","","で、手の平と足の裏以外がマットについちゃったら、その人の負け","","",""
"32","アイラ","","けっこうシンプルなんだね","","",""
"33","ツカサ","","本当にやる？","","",""
"34","アイラ","","……？　なにか問題があるの？","","",""
"35","ツカサ","","じゃあ、はっきり言うよ","","",""
"36","ツカサ","","ゲームの進行次第で、プレイヤーはすごくあられもない格好をさせられることもある！","","",""
"37","アイラ","","あられもない格好……！","","",""
