"ツカサ","","おはようございます","","",""
"","","ターミナルサービスで働くようになって、１週間が過ぎた。","","",""
"","","オフィスへの出社時間は、午前９時。","","",""
"","","俺より先に来ているのは、だいたいは事務担当のレンさんと、シェリーだけ。","","",""
"","","俺とほぼ同じタイミングで、ミチルとザック、それにアイラ、そして山野辺課長が出社してきて。","","",""
"","","最後に、カヅキさんがコンスタンスを伴って出社してくる。","","",""
"","","ＳＡＩ社ターミナルサービスは、世界各地に合計２９の部署が存在していて、中でも俺が所属している第１ターミナルサービスは、本社がある極東地区を管轄している。","","",""
"","","所属社員数、俺を含めてわずか８人。配属ギフティア数は４体。","","",""
"","","ちなみに……シェリーのパートナーである８人目の社員とは、いまだに顔を合わせたことがない。存在そのものが謎だし、誰もその人物について話そうとしないんだ。","","",""
"タカオ","","はあ、今日もこれから本社で会議だよ～。また胃が痛くなってきた。アイラちゃん、お茶くれる～？","","",""
"","","山野辺課長の頼みに、アイラはハーブティーの入ったティーポットを給湯室から持ってきた。","","",""
"レン","","課長、いつまでもアイラくんをお茶汲みとして使わないであげてくださいよ。今はツカサくんのマークスマンなんですから","","",""
"タカオ","","つい、いつものクセが出ちゃっただけじゃないか～。レンくんは事務員だけあっていちいち細かいなあ","","",""
"","","アイラは俺と組む前まで３年近く、パートナー不在でずっとお茶汲みをしていたらしい。だから、俺と組むようになってからも、自主的にみんなにお茶を出し続けている。","","",""
"ヤスタカ","？？","よお、諸君！　チャオ～！","","",""
"ヤスタカ","？？","久しぶり～！　元気してたかな？","","",""
"","","突然、見知らぬ男の人がオフィスに入ってきた。","","",""
"","","俺なんかよりもずっと年上に見えるけど、その割にはずいぶんとチャラそうな人だ。","","",""
"ミチル","","うげ","","",""
"","","隣の席で、ミチルが顔をしかめていた。\n関わりたくないのか、男の人と目を合わせようとしない。","","",""
"ツカサ","","ねえミチル。あの人、誰？","","",""
"ミチル","","縹ヤスタカ。うちのスポッター。ああ見えて、１０年近くここで働いてるベテランよ","","",""
"ツカサ","","へえ～","","",""
"","","じゃああの人が、シェリーのパートナーなのか。","","",""
"カヅキ","","おいヤスタカ。てめえ、仕事サボってどこほっつき歩いてた？","","",""
"ヤスタカ","","そりゃ、有休とか出張とか、いろいろさ","","",""
"カヅキ","","出張ってのは女のところに行くことを言うのか、そりゃ初耳だ","","",""
"ヤスタカ","","覚えといて損はないヨ～","","",""
"","","……ずいぶんと、ちゃらんぽらんな人だなあ。","","",""
"","","ヤスタカさんは、カヅキさんの嫌味をまったく意に介そうとせず、ちょうどアイラが持っていたお茶をごく自然に受け取って、口に運んだ。","","",""
"タカオ","","ヤスタカくん、それ僕の","","",""
"ヤスタカ","","うまい！　アイラ、君のお茶は相変わらずサイコー！","","",""
"アイラ","","……どうも","","",""
"ヤスタカ","","で、そこの彼かい？　アイラと組んでる新人くんっていうのは","","",""
"","","いきなり話を振られた。俺は慌てて立ち上がり、頭を下げる。","","",""
"ツカサ","","水柿ツカサです！　よろしくお願いします！","","",""
"ヤスタカ","","よろしく～","","",""
"ヤスタカ","","君はあれだろ？　伍堂部長に口きいてもらってコネ入社したんだろ？","","",""
"ツカサ","","え……","","",""
"ミチル","","は……？","","",""
"ヤスタカ","","なあなあ、部長とはどういう関係なのかな？　ぜひ知りたいなあ！","","",""
"ツカサ","","ええと……部長が、俺の父と、知り合いでして……","","",""
"ヤスタカ","","ああ、なるほど","","",""
"","","あまり、人前で堂々と話すことじゃないんだけど……。\n人によっては、軽蔑される場合だってあるし。","","",""
"","","なんとか話題を変えようとしていたら。","","",""
