"0","ツカサ","","では、回収同意書のここに、所有者である支子ミネコさんのサインをお願いします","","",""
"1","ミネコ","","ミラベルとお別れしなくてはならないなんて、寂しくなるわ","","",""
"2","","","ミネコさんは、神妙な面持ちでそう言ったけど、俺が差し出した回収同意書には迷うことなくサインをした。","","",""
"3","ツカサ","","それで、ミラベルの回収後ですが。オーナーのあなたには、３つの選択肢が用意されています","","",""
"4","ツカサ","","ひとつは、買い換え時の割引","","",""
"5","ツカサ","","ふたつ目は、下取りに出すことで定価の三割をキャッシュバック","","",""
"6","ツカサ","","みっつ目として、ミラベルの身体に新しいＯＳ、つまり人格を入れ直して、継続利用するというもので――","","",""
"7","ミネコ","","ＯＳの入れ替えをお願いするわ","","",""
"8","ツカサ","","え？","","",""
"9","","","ミネコさんは、動揺することなく微笑していた。","","",""
"10","","","そのみっつ目の選択肢を選ぶ所有者は、これまでの俺の短い経験の中でひとりもいなかった。","","",""
"11","","","はじめて担当したチヅさんには“バカにするな”って怒鳴られたぐらいだ。","","",""
"12","ツカサ","","あの、人格や記憶は、どっちにしろ消えてしまうんですけど、それでも大丈夫ですか？","","",""
"13","ミネコ","","ええ。以前にもそうしたから","","",""
"14","ツカサ","","以前にも、って……","","",""
"15","","","じゃあ、ミラベルはすでに一度、寿命を迎えている……？","","",""
"16","ミネコ","","魂を入れ替えても、私はずっと同じ子だと思って接しているのよ","","",""
"17","","","それは、俺がこれまで考えたこともなかった考え方だった。","","",""
"18","","","チヅさんに怒鳴られて以来、ＯＳ入れ替えはネガティブなものだっていう意識しかなかった。","","",""
"19","","","ミラベルを愛おしそうに眺めるミネコさんにつられて、俺もそちらへ視線を向ける。","","",""
"20","","","ミラベルは、お気に入りのぬいぐるみをアイラに楽しそうに披露していたけど、ふと俺たちの視線に気付くと、はにかみつつ会釈をしてくれた。","","",""
"21","","","翌朝。","","",""
"22","","","俺は、ミネコさんと話してふと感じたことを、誰かに尋ねたくて仕方がなくなってしまった。","","",""
"23","","","一番詳しそうなオヤジさんに、真っ先に訊いてみる。","","",""
"24","ミキジロウ","","記憶？","","",""
"25","ツカサ","","はい。ＯＳを入れ替えたギフティアって、なにかの拍子に前の記憶が戻ったりすることはないのかなあ、と","","",""
"26","ミキジロウ","","あり得んな","","",""
"27","","","俺の考えは、そんな一言でバッサリと切られた。","","",""
"28","","","同じ質問を、ターミナルサービスのみんなにもぶつけてみたけど。","","",""
"29","レン","","あはは、ないない","","",""
"30","コンスタンス","","残念ですが","","",""
"31","シェリー","","ないですね。前例もありません","","",""
"32","ザック","","あるわけないじゃん","","",""
"33","ミチル","","そんなこと聞いて回ってたの？　これだから素人は","","",""
"34","","","ことごとく、全員から否定された。","","",""
"35","ツカサ","","……相変わらずキツイなあ、ミチルは","","",""
"36","ミチル","","ギフティアの場合、人が記憶喪失になるのとは訳が違うの","","",""
"37","ミチル","","中身をまるまる新品に交換しちゃうんだから。別物なのよ、完全にね。そこを勘違いしないで","","",""
"38","ツカサ","","だからって、仕方ないと割り切れるもの？","","",""
"39","ミチル","","…………","","",""
"40","ミチル","","中途半端に希望を持たせられる方が、ずっとキツいわよ","","",""
"41","ミチル","","……ま、あんたの気持ちも分かるけどね。同じことを、私もここに来る前はよく考えてたから","","",""
"42","ツカサ","","ミチル……","","",""
"43","ミチル","","自分の中で落としどころを見つけなくちゃ、どうしようもない話なの","","",""
"44","","","きっと、俺と同じ悩みなんて、ターミナルサービスで働いてきたすべての人が、とっくに経験してきたことなんだろう。","","",""
"45","","","それでも、少しでも可能性にすがってみたい。","","",""
"46","","","そう簡単に割り切れることなんて……できそうにない。","","",""
"47","ツカサ","","…………","","",""
"48","","","つい、正面に座るアイラの顔に、目が行っていた。","","",""
"49","ツカサ","","落としどころ、か","","",""
"50","アイラ","","……？","","",""
"51","アイラ","","ツカサ？　どうかした？","","",""
"52","ツカサ","","……いや。なんでもないよ","","",""
"53","アイラ","","そう？　お茶、飲む？","","",""
"54","カヅキ","","ツカサ。アイラ。ちょっといいか？","","",""
"55","","","と、カヅキさんがファイルを持って声をかけてきた。","","",""
"56","カヅキ","","明日、第３ターミナルサービスのマークスマンが派遣されてくることになった","","",""
"57","ツカサ","","第３？","","",""
"58","","","俺が所属しているのは第１ターミナルサービス。\n本社のすぐ裏にあって、首都圏でも北や東の方を担当している。","","",""
"59","","","第３ターミナルサービスは、首都圏の主に南側の地区が担当だ。\n車だとここからだいたい１時間くらいの距離に、オフィスがある。","","",""
"60","カヅキ","","あっちで受け持ってる回収対象と所有者が、雲隠れしたそうでな","","",""
"61","","","カヅキさんからファイルを渡される。そこに、回収対象と所有者の情報が書かれていた。","","",""
"62","カヅキ","","うちの担当地区内に潜伏してるって情報があるんで、捜しに来るんだとよ","","",""
"63","カヅキ","","急で悪いんだが、お前らにそのサポートを頼みたい","","",""
"64","ツカサ","","は、はい。分かりました","","",""
"65","","","他のターミナルサービスの人と仕事をするのは、はじめてだ。","","",""
"66","","","新人の俺に務まるかな……。","","",""
"67","アイラ","","ツカサ。この件、私に任せて","","",""
"68","ツカサ","","アイラ……","","",""
"69","","","アイラがここまで自信満々だなんて、珍しいな。\n経験に裏打ちされた言葉なのかもしれない。","","",""
"70","ツカサ","","うん、よろしくね","","",""
"71","","","翌日。","","",""
"72","","","第３ターミナルサービスから派遣されてきたギフティアを、俺とアイラとで出迎えた。","","",""
"73","アンディ","","第３ターミナルサービスのアンディだ","","",""
"74","アンディ","","君たちが、ツカサくんと、アイラくん？　よろしく","","",""
"75","","","アンディと名乗った女性は、爽やかな笑顔を浮かべて、握手を求めてきた。……んだけど。","","",""
"76","アイラ","","……っ","","",""
"77","","","アイラは、昨日は自信満々だったのに、いざアンディと顔を合わせたら、人見知りの子供みたいに俺の後ろに隠れてしまった。","","",""
"78","ツカサ","","こちらこそよろしく、アンディ","","",""
"79","","","しょうがなく、俺が握手に対応した。","","",""
"80","","","スラッとして凛々しい雰囲気の女性だ。","","",""
"81","","","っていうか、ギフティアだよね。\nしかも、ひとりだけ？","","",""
"82","ツカサ","","あの、君のパートナーは？","","",""
"83","アンディ","","来ていないよ","","",""
"84","ツカサ","","え、でも","","",""
"85","アンディ","","出張は、マークスマンひとりが基本じゃないか。第１は違うのかい？","","",""
"86","","","そ、そうなの！？","","",""
"87","","","カヅキさん、そういうことは事前に説明しておいてほしかった……。","","",""
"88","ツカサ","","俺、出張したことないから。ははは……","","",""
"89","アンディ","","わざわざふたりも派遣するのは、効率が悪いからね","","",""
"90","アンディ","","出張先で君たちみたいなサポート要員を付けてもらえるから、困ることもないし","","",""
"91","ツカサ","","そっか。でももしアイラが出張するってなったら、絶対俺も一緒についていくけどなあ","","",""
"92","アイラ","","…………","","",""
"93","","","と、アイラが少し唇を尖らせて、俺の服の裾を引っ張った。","","",""
"94","アイラ","","私も、出張ぐらいひとりでできるので","","",""
"95","ツカサ","","へ？","","",""
"96","アイラ","","できるので","","",""
"97","ツカサ","","あ、いや、変な意味じゃないって！　誤解だよ！","","",""
"98","アンディ","","君たち、ずいぶん変わったコンビだね","","",""
"99","エル","","おー、ツカサっち！　これから外回りですか？","","",""
"100","","","と、エルさんが手を振りながら現れた。","","",""
"101","","","エンジニアであるエルさんが普段、仕事をしているメンテナンスルームは、本社ビルの中にある。","","",""
"102","","","でも、たまにミチルとランチに行くためか、こっちにわざわざ顔を出すことはあった。","","",""
"103","","","アイラやシェリーへのスキンシップなんかもついでに狙っているんじゃないかっていうのは、ザックによる分析だ。","","",""
"104","エル","","……っ！？","","",""
"105","","","そのエルさんが、急に立ち止まって目を丸くした。","","",""
"106","","","手に抱いていたファイルを地面に落とし、声を失っている。","","",""
"107","","","その視線は、俺やアイラじゃなくて、アンディに向けられていた。","","",""
"108","エル","","オリヴィア！","","",""
"109","アンディ","","……？","","",""
"110","エル","","嘘……まさか……信じられない……っ","","",""
"111","","","エルさんは、目に涙を浮かべながらアンディの元へとゆっくりと歩み寄っていき――","","",""
"112","エル","","我が心の友よ～！","","",""
"113","","","勢いよく抱きついた。","","",""
"114","アンディ","","なっ！？","","",""
"115","","","しかも抱きついただけじゃなく、アンディの胸に頬ずりまで始めた。","","",""
"116","アンディ","","きゃあっ、どこ触ってるんだよぉ！","","",""
"117","エル","","おぐぅあ！？","","",""
"118","","","アンディもアンディで、突然のことに涙目になり、エルさんを思い切りビンタした。","","",""
"119","","","なんだこの状況……。","","",""
"120","アイラ","","エルが、ここまで変態だったなんて……","","",""
"121","","","アイラも突然の修羅場にすっかりビビってしまっている。","","",""
"122","","","そのエルさんは、アンディにビンタされたにもかかわらず、恍惚の表情を浮かべていた。","","",""
"123","エル","","ぐふ、まさか反撃してくるなんてビックリっすよ……。昔はどれだけセクハラしてもなすがままだったのに……","","",""
"124","エル","","いや、でもこれはこれで……うふ、うふふふ","","",""
"125","","","うわぁ～。","","",""
"126","ツカサ","","ええと、ふたりは、知り合い？","","",""
"127","エル","","そう！　なにを隠そう私たちはともに青春時代を過ごした大親友で――","","",""
"128","アンディ","","なにを言ってるんだ！？","","",""
"129","エル","","……え？","","",""
"130","アンディ","","僕と君とは、初対面じゃないかぁ","","",""
"131","エル","","…………っ","","",""
"132","エル","","初……対面……？","","",""
"133","エル","","そっか……。消えちゃったんだ……記憶","","",""
"134","ツカサ","","……エルさん？","","",""
"135","","","と、エルさんはハッとすると、地面にぶちまけたファイルを慌てた様子で拾い集めた。","","",""
"136","エル","","い、いやあ、すみません！　あまりに友達に似ていたので、間違えちゃいました！　私ったらおっちょこちょいですね、テヘッ","","",""
"137","エル","","じゃ、失礼しました～","","",""
"138","","","やけにそそくさとした様子で、階段を上がっていった。","","",""
"139","","","ええと……。結局、なんだったんだろう？","","",""
"140","","","アンディっていう美形のギフティアを見てムラムラきて、スキンシップを図ったら拒絶されて退散した……とか、そういうこと？","","",""
"141","アンディ","","第１の人は、みんな変わっているんだね……","","",""
"142","ツカサ","","は、ははは……","","",""
"143","アイラ","","エルに比べたら、ツカサはだいぶ……ううん、すごくマシ","","",""
"144","ツカサ","","フォローありがとう……","","",""
"145","","","アンディが追っている回収対象は、デレクと呼ばれるギフティアだった。所有者は松葉リホさん。まだ二十代の女性だという。","","",""
"146","","","いろいろ調査した結果、ふたりが隠れているのがとある廃工場だと分かった。","","",""
"147","","","そこで、俺たち３人で確保に向かったら、向こうは俺たちの姿を見るなり逃げ出した。","","",""
"148","ツカサ","","待って！","","",""
"149","","","慌てて追いかける。","","",""
"150","","","と、アンディが俺に向けてアイコンタクトをしてきたと思ったら、別方向へ別れて走って行った。","","",""
"151","","","挟み撃ちにするつもりらしい。","","",""
"152","","","アイラが先行してリホさんとデレクを追う。あと少しで追いつけそうというところで、アイラは足を滑らせ、転倒してしまった。","","",""
"153","ツカサ","","アイラ！　大丈夫！？","","",""
"154","","","アイラを立たせている間に、リホさんとデレクの姿が遠くなる。","","",""
"155","","","が、そこで別方向から回り込んでいたアンディが、ふたりの行く手を塞ぎ、立ちはだかった。","","",""
"156","アンディ","","そこまで","","",""
"157","アンディ","","もう諦めてくれないかな","","",""
"158","","","デレクも、リホさんに向けて諭すようになにかを話しかけている。","","",""
"159","","","リホさんはそのデレクの言葉を聞いて、観念したようにがっくりとうなだれた。","","",""
"160","","","確保したデレクとリホさんを、俺たちが乗ってきた社用車のところまで連れていった。","","",""
"161","","","そこでアンディが、リホさんに回収同意書を差し出した。","","",""
"162","アンディ","","ここにサインを","","",""
"163","リホ","","お願い！　見逃して！　デレクと離れたくないの……！　愛しているの……！","","",""
"164","アンディ","","そういうわけにはいかないんだ","","",""
